가수명,노래제목,발매일,가사,좋아요수,순위
박재정,사랑한 만큼,2019-07-01,비겁해요 그대는 만날 수도 없단 걸 알면서도 나를 걱정하네요 마음을 달래도 갈려진 자석같이 그대를 찾아요 허락할 수 있어요 다만 잊진 못하죠 웃는 모습으로 놓아주고 싶지만 그대가 내게 흘려준 그 눈물에 가슴이 아릴 때면 그땐 어떻게 해야 하나요 두 번 다시 마주치지 않기로 해요 그댈 보면 약해질 테니 걱정하지 마요 나 잊을 거예요 사랑한 만큼만 아플게요 아직 어렸나 봐요 자신만을 사랑한 어린아이처럼 부끄러워서 제 자릴 찾아도 이미 우린 길을 잃어 버렸나 봐요 걱정하진 말아요 그래도 죽진 않아요 한동안 아프면 괜찮겠죠 다만 그대가 즐겨 부르던 그 노래가 내 맘을 괴롭히면 그땐 어떡하면 좋아요 두 번 다시 마주치지 않기로 해요 그댈 보면 약해질 테니 걱정하지 마요 나 잊을 거예요 사랑한 만큼만 아플게요 용서하기로 해요 서로 몰랐었죠 사랑에 의미를 이별이 오는 건 혼자 몰랐었죠 그대가 너무 보고 싶어 방황하겠죠 그 고통마저 잡고 싶겠죠 아픈 만큼 더 강해지길 바래요 좋은 사람 만나 그대를 잊겠지만 사랑한 추억만 남길게요 ,16032,1511
이지라이프,너말고 니언니 (Original),2006-04-10,너말구 니언니  라라라 라라라라라 라라라라라 라라라라라 너무나 보고 싶은 넌데 전하고 싶은 말이 많은 난데 오늘 니 하루가 궁금한 난데 그래서 니 언니에게 너의 소식을 물어봤지 믿기 힘든 일이야 니가 날 떠나버렸으니 알고보니 나보다 더 오래 사귀었던 남자있다며 나에게 넌 안녕하고 미안해 말 한마디로 날 떠나갔지 매일밤 술에 취해 난 널 잊으려 노력했지만 안되는데 그래서 딴 여잘 만났지만 뜻대로 되지 않는 억지야 아무리 노력해도 너 하나는 잊을 수가 없는데 도대체 니가 내게 뭔데 자꾸 니가 미워지는건데 다시 나 이렇게 생각을해 어쩔 수 없어 너무나 슬퍼져 너무나 보고 싶은 넌데 전하고 싶은 말이 많은 난데 오늘 니 하루가 궁금한 난데 그래서 니 언니에게 너의 소식을 물어봤지 나 그녀에게 전화해 니 소식을 물어봤지 하나부터 열까지 너 무얼하고 사는지 헌데 그녀가 나를 위로하네 마치 네가 다시 내 곁으로 온 것 같아 만나고 또 만나고 니 소식을 묻다가 그러다 또 만나고 영화도 한 편 보고 그러다 또또 만나 술도 마셨어 취해서 눈물 콧물 다 흘리며 그녀를 잡고 울었어 도대체 니가 내게 뭔데 자꾸 니가 미워지는 건데 다시 나 이렇게 생각을 해 어쩔 수 없어 너무나 슬퍼져 너무나 보고 싶은 넌데 전하고 싶은 말이 많은 난데 오늘 니 하루가 궁금한 난데 그래서 니 언니에게 너의 소식을 물어봤지 너무나 힘들거야 그녀도 힘들거야 이젠 널 보며 내가 가슴이 아파 시간이 지나가면 괜찮테니 걱정 하지마 어젠가 너 좋은 여자 만날 테니까 그녀가 예뻐지고 그녀가 좋아지고 그녀만 보면 이제 니 생각이 나지 않아 너의 향기도 있고 너의 미소도 있고 심지어 하품하는 모습까지 똑같아 이래선 안되는데 사랑이 온 것 같아 그녀도 날 좋아해 어제는 손 잡았네 그러다 그러다 그러다 그러다 결국엔 넘어선 안될 선을 넘었네 너말고 니언니 그녀만 곁에 있으면 나는 행복해 너말고 니언니 난 사랑해 너말고 니언니 그녀만 곁에 있으면 나는 행복해 너말고 니언니 그녀를 난 사랑하게 됐어 너말고 니언니야 너말고 니언니야 ,14090,1512
허각,이제 그만 싸우자,2014-07-08,온종일 전화기만 쳐다보다가 네 문자만 기다리다가 괜한 자존심 때문에 잠도 못 이루는 건지 너 없이도 난 괜찮을 것만 같았고  다 잘 지낼 줄 알았는데 왜 그게 아닌 내 맘은 네 걱정만 하는지 사실은 그 별것도 아닌 이유로  너를 떠나서 후회해 네가 내 곁에 와서 먼저 말해줘  너도 나와 같다면 이 여자는 왜 이 여자는 왜 도대체 잊을 수가 없는 여자인지 떠나간 뒤에도 자꾸만 나를 울리는지 이 남자는 왜 이 남자는 왜 잊질 못해 죽어도 안돼 다시 한번 또다시 한번 말할게 이제 그만 좀 싸우자 이번엔 정말로 다 끝일 거라고  전화번호를 바꿔도 이미 내 습관들도 못난 모습도  너를 닮아버렸어 이 여자는 왜 이 여자는 왜 도대체 잊을 수가 없는 여자인지 떠나간 뒤에도 자꾸만 나를 울리는지 이 남자는 왜 이 남자는 왜 잊질 못해 죽어도 안돼 다시 한번 또다시 한번 말할게 이제 그만 좀 싸우자 Woo 먼저 연락이 오겠지 Woo 먼저 날 찾아오겠지 Woo 사실은 아직도 난 네가 좀 더 필요해 이렇게 oh 도대체 넌 잊을 수가 없는 여자인지 떠나간 뒤에도 자꾸만 나를 울리는지 이 남자는 왜 이 남자는 왜 잊질 못해 죽어도 안돼 다시 한번 또다시 한번 말할게 이제 그만 좀 싸우자 ,47311,1513
김나영,조금 더 외로워지겠지,2019-07-18,조금만 덜 좋아했다면 우린 어쩜 모른 척 살았을까 지쳐가는 너를 흔들리는 나를 외면한 채 그저 곁에 두고서 넌 알았을 거야 처음부터 마지막을 겁냈던 나를 너 없이 못 사는 그런 사람 되긴 싫어서 언제든 먼저 내가 널 떠날 수 있게 어리석은 계산 내가 감당할 수 있을 만큼만 넌 알고 있었을까 그건 아무런 상관이 없다는 걸 난 몰랐던 거야 너에게도 쉽지만은 않았을 길을 혼자서 못 걷는 그런 사람 되긴 싫어서 항상 생각해 이별 후 남겨진 모습 다시 걸으면 돼 너를 몰랐던 예전처럼 혼자 널 만나기 전보다 아마 조금 더 외로워지겠지만 숨차게 달려온 내 삶에 지친 등을 받아준 의자처럼 고마웠던 사람 혼자선 못 걷는 그런 사람 되긴 싫어서 너 없이 못 사는 그런 사람 되긴 싫어서 언제든 너를 웃으며 보낼 수 있게 바보 같은 다짐 혼자 남겨져 울진 않을 거야 난 이젠 알 것 같아 그건 아무런 소용이 없다 는 걸 ,29194,1514
먼데이 키즈 (Monday Kiz),나가,2020-08-09,뭐에 홀린 것처럼 정신이 없다 아무것도 재미가 없다 나도 너처럼 살고 싶어 아무렇지도 않고 싶어 뻔한 이별 노래 가사처럼 나만 또 아픈 건가 봐 그만 괴롭히고 나가 나의 맘속에서 나가 어딜 가든 너만 보이고 아직도 너 하나만 찾아 그래 이제 나가 나의 맘속에서 나가 제발 끝났잖아 다신 돌릴 순 없잖아 나만 힘든가 봐 난 네가 행복하지 않았으면 좋겠어 좋은 사람 만나서 잘 살고 있다 너완 너무 다른 이 사람 나는 너처럼 살기 싫어 행복하게만 살고 싶어 뻔한 이별 노래 가사처럼 역시 넌 변한 게 없어 그만 괴롭히고 나가 나의 맘속에서 나가 어딜 가든 너만 보이고 아직도 너 하나만 찾아 그래 이제 나가 나의 맘속에서 나가 제발 끝났잖아 다신 돌릴 수 없잖아 이제는 아프고 싶지 않아 어떻게 잊을 수 있어 이제 너를 보내고 싶어 우린 여기까진가 봐 너무 지쳐버렸나 봐 그만 괴롭히고 나가 자꾸만 보고 싶어 미치겠어 어딜 가든 너만 보이고 이대로는 끝낼 수가 없어 정말 그래 이제 나가 나의 맘속에서 나가 제발 끝났잖아 다신 돌릴 순 없잖아 나만 힘든가 봐 난 네가 좋은 사람 만났으면 좋겠어 그래 나가 내 맘속에서 이제 그만 잘 살아줘 ,19215,1515
태연 (TAEYEON),Page 0,2018-08-10,아무것도 내겐 정해지지 않은 이 세상 이제부터 내가 그릴 수 있는 세계를 지금 시작해보려 해 보고 마주한 것들 또 듣는 것들도 내가 느낀 모든 것들도 나의 한 페이지가 될 거야 이 순간 Breeze Breeze Breeze 크게 숨 들이쉬고 Breeze Breeze Breeze 0부터 시작될 세상에 숨을 불어 넣어줘 Breeze Breeze Breeze Breeze Breeze Breeze 아득해 보였던 그 꿈의 조각들을 모아 나 홀로 간직했었던 내가 원했었던 그 찬란한 미래로 길을 만들어 줄 거야 보고 마주한 것들 또 듣는 것들도 내가 느낀 모든 것들도 나만의 이야기가 될 거야 이 순간 Breeze Breeze Breeze 크게 숨 들이쉬고 Breeze Breeze Breeze 0부터 시작될 세상에 숨을 불어 넣어줘 Breeze Breeze Breeze Breeze Breeze Breeze 난 넘어질 때도 있겠지 날 넘어뜨렸던 순간들조차도 소중한 기억들로 이 순간 Breeze Breeze Breeze 크게 숨 들이쉬고 Breeze Breeze Breeze 0부터 시작될 내 이야기를 들려줄게 Breeze Breeze Breeze Breeze Breeze Breeze Breeze Breeze Breeze Breeze Breeze Breeze 이제 시작될 0의 이야길 보여줄게 Breeze Breeze Breeze Breeze Breeze Breeze ,48326,1516
EXO,불공평해 (Unfair),2015-12-10,그렇게 날 보고 웃으면 Girl don't you know 아무렇지 않기는 힘들어 다 마신 커피도 벌써 몇 잔째인데 Baby 몽롱한 이유는 뭐니 oh 뭐니 아마 친구가 봤다면 욕했을 걸 이런 모습과 말들이  낯간지러워 but 네 앞에만 서면 언제 그랬냐는 듯이 넌 불공평해 이기적인 거니 그만해 너의 눈 너의 코 너의 입은 봐도 봐도 계속 예쁠 거니 넌 불공평해 거기까지만 해 oh 넌 위험 해 위험 해 천천히 엄마야 혹시 알고 있다면 장난치진 말아줘 Don't you see 점점 더 네게 헤매이는 내게 들었다가 놨다가 하는 건 너무 가혹하다고 I gotta gotta slow down Baby baby baby baby oh 아마 친구라면 내가 욕했을 걸 이런 모습과 마음들이 너무 급하단 걸 나도 잘 알고 있지 But you make me say this 넌 불공평해 이기적인 거니 그만해 너의 눈 너의 코 너의 입은 봐도 봐도 계속 예쁠 거니 넌 불공평해 거기까지만 해 oh 넌 위험 해 위험 해 천천히 엄마야 내가 왜 이러는지 되물어봐도 확실한 이유 대신 떨림들이 말해주는 것 같아 딴 건 중요치 않아 그새 다시 네게 전화를 거네 진짜 이상한 거 아는데 아무 말 하지 말고 들어봐 I know it's unfair  이기적인 거니 어떠니 너의 눈 너의 코 너의 입을 나만 보고 싶어 욕심 같니 I know it's unfair  딱 잘라 말해 더는 나 위험 해 위험 해 천천히 I'm telling Girl girl be my love 우린 매일 커피를 마셨고 My baby yeah Girl girl be my love 밤마다 긴 통화도 했어 Babe Girl girl be my love 자 넘어올 때 도 됐으니 Oh baby falling let's fall in love 엄마야 ,118762,1517
씨야,미친 사랑의 노래,2006-07-18,너를 사랑한 죄로 깊은 한숨으로 하룰 보내고 입을 막아도 눈을 가려도 너 하나만 찾게 돼  애써 추억을 삼켜봐도 다시 내 가슴에 남아서 니 이름만 또 부르게 돼 니가 보고싶어  널 사랑하니까 전부니까 내 삶 널 위해 쓰고싶어 열번을 웃고 천번을 울더라도 너 하나만 사랑하고 싶어  세상 앞에 크게 소리치고 싶은데 사랑해 사랑해 널 사랑해서 오늘도 살아가  약한 가슴 때문에 니가 없이는 난 안될 것 같아 다시 생각나 다시 찾게 돼 추억이란 몹쓸 말  적은 나의 사랑 때문에 니가 너무 힘들었나봐 널 사랑했던 벌이라면 내가 다 받을께  널 사랑하니까 전부니까 내 삶 널 위해 쓰고싶어 열번을 웃고 천번을 울더라도 너 하나만 사랑하고 싶어  세상 앞에 크게 소리치고 싶은데 사랑해 사랑해 널 사랑해서 오늘도 살아가  너 없이는 하루도 자신없어 어떻게 널 잊니 어떻게 지우니 아파도  이별 앞에 웃을 수 있는건 니가 선물한 추억 때문에 사는 동안 언젠간 잊혀질지 몰라 그리워 그리워 난 그리워서 오늘도 기다려 ,6223,1518
스탠딩 에그,사랑하는 너에게 (취향저격 그녀 X 스탠딩 에그),2020-10-16,날 보는 두 눈은 사랑으로 가득 차 있어 그대 손을 잡고 오늘도 난 웃어요 널 보는 내 눈은 자꾸 눈물이 날 것 같아 내 마음을 온전히 다 전해주고 싶은데 사랑하는 너에게 늘 보고 싶은 너에게 너무 고마워 이 마음 진심인데 그대는 My love My love It's you 영원이란 그 말 너를 알고 나서 믿었어 함께 한 모든 순간이 나에겐 의미가 있어 꿈꿔왔던 순간들 사랑하는 너에게 늘 보고 싶은 너에게 너무 고마워 이 마음 진심인데 그대는 My love My love It's you woo woo It's you It's you My love My love and With you with you 시간이 멈추면 좋겠어요 My love My love and With you with you 힘껏 안아 줄 거예요 사랑하는 너에게 늘 보고 싶은 너에게 너무 고마워 이 마음 진심인데 그대는 My love My love It's you ,16887,1519
김세정,나의 모든 날,2020-02-01,있잖아 지금 나 할 말이 있어 지금 순간이 아니면 나 놓칠 것 같아서 특별한 말이 아니라도 화려한 말이 아니라도 오직 나만이 할 수 있는 말 우리 처음 만난 그날엔 어색해 웃어도 보고 지금의 나는 그리운 눈물 애써 참아봐요 이게 사랑인가 봐 꿈만 같은 일인데 그냥 나 하는 말이 아니라 내 모든 순간이 전부 그대로 다 물들어 그대가 내 맘에 온 날부터 세상은 온통 그대죠 사랑이라는 말론 모자란 맘으로 말할게요 내 모든 순간도 내 모든 이유도 그대라고 햇살이 좋은 날 그대와 단둘이 함께라는 이유만으로 난 행복했어 이게 사랑인가 봐 꿈만 같은 일인데 그대라는 선물을 만난 건 내 모든 순간이 전부 그대로 다 물들어 그대가 내 맘에 온 날부터 세상은 온통 그대죠 사랑이라는 말론 모자란 맘으로 말할게요 내 모든 순간도 내 모든 이유도 그대라고 아무렇지 않은 척 티를 내지 않아도 나만 알 수 있는 웃음이 내겐 가득한데 그대를 만나 바뀐 내 모든 행동들이 다 이게 사랑이라는 걸 느껴 내 모든 날들이 그대로 가득찬 순간이 어쩌면 우리의 만남이 다 이미 기적인거죠 언젠가 같은 하늘 아래서 우리가 함께라면 꼭 안아줄게요 내 모든 순간은 그대니까 ,36115,1520
