가수명,노래제목,발매일,가사,좋아요수
소심한 오빠들,이별맛집 (Feat. 볼빨간사춘기),2014-11-17,오늘 우연히 들렀어 그 집그러고 보니 우리참 많이도 찾아다녔다가는 동네 집집마다 우리같이 꼭 붙어 먹던그 음식 추억들 뿐인데안녕하세요 아주머니 오랜만이죠 잘 계셨죠오늘은 그냥 친구랑 왔어요아니예요 헤어진건 아니예요먹는데 자꾸 눈물이 나요 목으로 넘어가질 않아요 오늘은 정말 친구랑 온거예요다음에 꼭 같이 올게요 우리하나 변한 게 없어서 괜히 속상하더라 우린 이렇게많이 변했는데 안녕하세요 아주머니오랜만이죠 잘 계셨죠오늘은 그냥 친구랑 왔어요아니예요 헤어진건 아니예요먹는데 자꾸 눈물이 나요 목으로 넘어가질 않아요 오늘은 정말 친구랑 온거예요다음에 꼭 같이 올게요 우리숙대 앞 낡은 껍데기집흑석동 곱창집 아저씨도여전히 널 여전히 날또렷히도 아시더라 네가 좋아했던 떡볶이집우리가 항상 먹던 팥빵집한번쯤 그냥 이렇게와보고 싶었어모든게 선명해서먹는데 자꾸 눈물이 나서 목으로 넘어가질 않았어오늘은 그냥 친구랑온거라고 했어 꼭 다시 오겠다고 너랑,7867
CHEEZE (치즈),Romance,2015-05-13,빨간 풍선에 가득 담긴꽃잎에 짙은 향기 품고서무표정으로 내게 다가와귓가에 깊이 색을 물들여그저 웃음 짓네차가운 기억에 머무는 듯해나란히 겹쳐지는따뜻한 기억에도어두운 곳에 갇혀있는 듯해두 눈이 멈춰있는 그곳에walking through the night곁에 함께존재했던 그대 뒷모습이아직도 내게는달콤했던 순간인지 긴 악몽인지어지럽게 날 뒤흔드는 가위처럼혼자서는 잠이 들고 깨기가예전처럼 쉽지가 않아은근하게 날 조여오는매 순간에 갈 곳을잃은 내 기억 속은walking through the night곁에 함께존재했던 그대뒷모습이 아직도 내게는달콤했던 순간인지 긴 악몽인지어지럽게 날 뒤흔드는 가위처럼walking through the night곁에 함께존재했던 그대뒷모습이 아직도 내게는달콤했던 순간인지 긴 악몽인지어지럽게 날 뒤흔드는 가위처럼,54481
스무살,미안 (Feat. 안지연),2018-09-27,미안 널 생각해미안 아직도 널 생각해마침 지금 창밖에비가 내리고 있어저 비를 핑계 삼아 널 생각해도 될까널 생각하면마음이 찡해지는 게너와 나의 시간은내가 항상 느렸던 걸까아님 조금 달랐던 걸까Please go back내 맘이 기다려내가 망쳐버렸던 수많은시간을 고칠 수 있게Please go back넌 지금 어딨니비가 그치고 햇살이 와너도 그렇게 오면 안 될까좋은 영화가 끝나고한참을 아쉽게 머물러있던 그 맘처럼아쉬운 맘을 붙잡던 우리였는데그런 널 난 어떻게 보냈을까Please go back내 맘이 기다려내가 망쳐버렸던 수많은시간을 고칠 수 있게Please go back넌 지금 어딨니비가 그치고 햇살이 와너도 그렇게 오면Please go back니 맘을 기다려니가 수놓았었던 수많은추억을 찾을 수 있게Please go back넌 지금 어딨니비가 그치고 햇살이 와너도 그렇게 오면 안 될까,6783
김나영,오답 (Feat. 이민혁 of BTOB),2018-12-30,이유가 되잖아아무 이유가 없는 것도그냥 좋았잖아 다른 이유 없이도다 그런 거잖아다들 하는 이별이란 게추억이 되긴 어렵잖아모든 하루에 정답이 있었다면그때 우린 몇 번이나 틀린 걸까이제 그 모든 날이 다자꾸 멀어져 잡히지가 않네있잖아 그만하자다 알잖아 더 안되잖아함께 한 모든 날이전부 다 오답이라잖아그럼 다 지워보자 오답들도 사라질까함께 한 모든 날이이젠 다 추억이라잖아이유가 되잖아아무 이유가 없는 것도그냥 그만하자 다른 이유는 없어다 그런 거라며다들 하는 이별이란 게추억이라 얘기하며 추억하는 게함께했던 모든 게 한순간이 되는 게그래 아무 의미 없겠지지난 진심 따윈차갑게 식어버린 우리 둘 정적만이이유 같은 건 의미 없단 걸미련에 또 돌아봐도풀이부터 엉망 죄다 오답뿐warning 끝없이 떨어지는 길그 끝에는 비만 내려대체 왜 그리 답답해이제 와서 무슨 답을 찾니서로가 아름답도록만든 밤이 그리워져도있잖아 그만하자다 알잖아 더 안되잖아함께 한 모든 날이전부 다 오답이라잖아그럼 다 지워보자 오답들도 사라질까함께 한 모든 날이이젠 다 추억이라잖아너가 없는 내일에 정답이 있긴 할까모두 다 지워내도 결국 오답 아닐까그래 아마 우린 아마 다,14773
아이유,그렇게 사랑은,2017-04-21,그렇게 사랑은 간절히 불러보지만아무런 대답이 없는그렇게 사랑은 아무리 다가갈수록멀어져 가는얼마나 사랑은 수많은 사람들 중에오직 그대 하나얼마나 사랑은걷잡을 수 없는 바람이 되어가질 수 없는꿈결이 너를 내게 데려온밤새 처음 들은 목소리가웃음이 되고어느새 앞서간 너의 뒷모습잠시도 멈추지 못해내 마음 터질 것 같아너를 사랑하는혼자만의 사랑이라도내 맘 하나 가득소중한 모든 것인 것을너를 사랑하는혼자만의 사랑이라도시들지 않는 영원한 것을남겨진 하늘 검은 밤바람떠나간 너의 기억눈부시게 밝혀져 있고모두 사라질 세상 속에서널 향한 조급한 그리움더욱 커져만 가는너를 사랑하는혼자만의 사랑이라도내 맘 하나 가득소중한 모든 것인 것을너를 사랑하는혼자만의 사랑이라도시들지 않는 영원한 것을어쩌면 사랑은 닿을 수 없는 너의 손애써 잡으려 하는어쩌면 사랑은 있지도 않은 곳으로찾아가려는,47043
케이시 (Kassy),그때가 좋았어,2018-12-31,이젠 내가 편하니작은 설렘조차 욕심이겠지항상 곁에 있어서계속 함께 있을 줄 알았나 봐음 반복되는 시간에 지쳐가더 이상 함께 웃을 일도 없어봄처럼 따뜻했던그때가 좋았어너 하나로 충분했던그때가 좋았어헤어지고 나서야깨닫게 됐어참 좋았구나참 예뻤구나 우리지난날에 그때가 참 좋았어그때 그때그때 그때 음이미 너도 다 알잖아돌이킬 수 없이 멀리 왔다는 거억지로 더 노력해도안되는 건 어쩔 수가 없더라음 우리 언제 이렇게 됐을까더는 너를 만날 자신이 없어봄처럼 따뜻했던그때가 좋았어행복해서 눈물 나던그때가 좋았어헤어지고 나서야깨닫게 됐어참 좋았구나참 예뻤구나 우리지난날에 그때가 참 좋았어가진 것도 없고 초라했어도서로만으로 충분했으니까 우린너라서 좋았어행복했어사랑이 전부였던그때가 좋았어그때 알았더라면더 사랑할 걸더 안아줄 걸후회가 돼사랑했던 우리가 참 그리워그때 그때그때 그때 음,232601
다비치,사랑하지 말아요,2018-01-25,맘 졸이다 그댈 기다리다혼자 그렇게 지새운 많은 날오랜 시간을 나만 그랬네요전부를 주고 바라만 봤어요우 지쳐가는 날 느낄 때마다우 변해가는 널 이해할 때마다사랑하기 싫어요달라질 것 없는 그대가 힘이 들어서자꾸 나만 다쳐서이제 그만 해요 나 외로웠잖아요이렇게 멀어져요더 사랑하지 말아요 우리우리 여기 딱 여기까지죠알고 있겠죠 난 남은 게 없어요잦은 거짓말 부질없는 약속더는 아프게 기대하지 않아요사랑하기 싫어요달라질 것 없는 그대가 힘이 들어서자꾸 나만 다쳐서이제 그만 해요 나 외로웠잖아요이렇게 멀어져요더 사랑하지 말아요 우리참 많이 노력한다는 말 더 아파요이젠 더 흔들지 말아줘요제발 내 곁을 떠나줘요사랑하지 말아요달라질 것 없는 우리가 힘이 들어서자꾸 나만 다쳐서이제 그만 해요 나 외로웠잖아요이렇게 멀어져요더 사랑하지 말아요 우리,6649
김나영,어땠을까,2016-10-18,지내봐도 다시 너였고 숨어있던 너를 찾고오늘도 난 눈을 감아 봐도 또 네가 보여마주했던 날들아직 난 그 자리에 서있어조금 사랑했더라면 조금 네 맘 가졌다면이 아픔도 이 순간도 어땠을까그때 그랬었더라면 한발 더 물러섰더라면네가 나의 곁에 있을까그때 그랬다면 어땠을까함께했던 추억 왜 널 미워 못하게 만들어조금 사랑했더라면 조금 네 맘 가졌다면이 아픔도 이 순간도 어땠을까그때 그랬었더라면 한발 더 물러섰더라면네가 나의 곁에 있을까그때 그랬다면 어땠을까아직 내 맘이 너를 지울 자신이 없나 봐너 없인 내 맘 텅 비었으니까다른 사랑 못 할 만큼 너를 잊지 못 할 만큼내 마음도 네 모습도 그대론데그때 그랬었더라면 조금 더 잘해줬더라면네가 아직 곁에 있을까그때 그랬다면 어땠을까,6027
다비치,알아서 앓아요,2018-01-25,내 맘 부서지는 소리 들으며이젠 떠나 줄게요저벅 저벅 밟혀지는우리의 사랑과 또 울음소리아픈 거 알아요 굳이 말하지 마요뭐든지 그대를 위해서라면다 한 나지만날 보내는 아픔까진대신 앓아 줄 수 없어 미안할뿐야알아서 잘 앓아요알아서 날 지워요어떻게든 이별을 해내요기억도 추억도 나도 이 빗속에후두둑 후두둑털어내 버려요행복하길 바래요우리 기나긴 사랑이잠깐의 미움에 끝났네요내 곁에서 멀어지면 질수록미움도 멀어지네요이제는 잃을 게 아무것도 나 없어가진 건 사랑 단 하나였지만걱정 말아요매일 내가 닦아주던 얼룩처럼그렇게 날 닦아버려요알아서 잘 앓아요알아서 날 지워요어떻게든 이별을 해내요기억도 추억도 나도 이 빗속에후두둑 후두둑털어내 버려요원했던 거잖아요내가 없으면 죽을 것 같다던 그대가이젠 있으면 죽을 것 같다고 하네요죽음도 삶이라고들 하죠이별도 사랑이란 사실을배워볼게요 그래볼게요알아요 잘 앓아요알아서 날 지워요어떻게든 이별을 해내요기억도 추억도 나도 이 빗속에후두둑 후두둑털어내 버려요행복하길 바래요,4950
정키,홀로 (Feat. 김나영),2012-08-31,아침에 눈을 떴을 때텅 빈 방안에 나 홀로 니 빈자리 거닐면서많은 생각들에 잠겨지워질 수 없는 기억 돌이킬 수 없는 우리 헤어날 수 없는 나와 멀어져만 가는 너를 바라봐누군가 한 말 처럼 언젠가만날 거라 그렇게우린 헤어진 거야집에 오는 길을 홀로텅 빈 방 침대에 홀로너와의 기억에 홀로 나 홀로 무뎌질 가슴안고 추억 속에 살아 홀로방안에서 깨면 홀로 늘있던 니가 없어 익숙해지겠지 나 홀로그 때를 기억하니 너와내가 우리란 말로함께 할 수 있었던그 날의 사랑들을잠시 맞잡았던 두 손 차마 놀 수 없어 붙잡았던우리라 해도그립고 그리워 그저 바라만 봐야 했어누군가 한 말 처럼 언젠가만날 거라 그렇게 우린 헤어진 거야집에 오는 길을 홀로 텅 빈 방 침대에 홀로너와의 기억에 홀로나 홀로 무뎌질 가슴 안고 추억 속에 살아 홀로방안에서 깨면 홀로 늘 있던 니가 없어 익숙해지겠지 나 홀로지난 시간들이 그리워 힘든 건지 내 손길만을 기다린 건지다른 누군갈 만날 내 모습 바란 건지 그저 날 사랑한다고 말해줘집에 오는 길을 홀로텅 빈 방 침대에 홀로너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 살아 보고 싶어 매일 널 그리며 살아 다시 아파한다 해도 내게 손 내밀어 그저 날 사랑한다고 말해줘이제 더 이상 잊혀질 그 날처럼 처음 날 만나서 설레었던그 날 그 때로 다시 돌아와나 하나만 바라보며 사랑한다고 말했던그 때의 우리로 돌아갈래텅 빈 방 침대에 홀로너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 추억 속에 살아 홀로방안에서 깨면 홀로 늘있던 니가 없어 익숙해지겠지 나 홀로,150108
윤딴딴,남은 기억,2019-01-28,어디서부터 이 긴 얘기를 시작할지가끔 비추는 너의 소식이 좋아보여네가 없으면 참 걱정 될 것 같던 일을알아서 잘 헤쳐 나오는 것 같아 얼마 전 지나간 너의 생일날아무것도 못하고전화만 잡고 있었던 건왠지 너도 그랬지 않았을까 해서네가 어디서 뭘 하던내가 뭐라 할 수 없잖아서로 잘 지내고 있는 것 같은데괜히 왜 이러지혹시 내가 지금 하는 얘기가부담이 아니길 바래아무런 의미 없어단지 내 안에 네가아직 남아있을 뿐이야길을 걷다가 우연히라도너를 만나길자주 가던 길을서성인 건 사실이야통통하고 하얀네 작은 손을 꼭 잡고서긴장하지 않고서근처의 카페로 데려가못한 얘기 나누면서마주보면서 웃고싶어네가 어디서 누굴 만나든지뭐라 할 수 없잖아겨우 잘 지내고 있는 것 같은데또 괜히 이러지혹시 내가 지금 하는 얘기가부담이 아니길 바래아무런 의미 없어단지 내 안에 네가아직 남아있을 뿐이야함께 가던 길 위에 그 때 우리 둘 나의 작은 맘속에 남은 기억들네가 뭘 하고 누굴 만나든지뭐라 할 수 없는게가끔씩 내 맘을 조여와나는 걱정 말고 너는 지금처럼잘 지내길 바래더 바라는게 없어단지 내 안에 그때네가 남아있고 또 남아있을 뿐이야그 때 우리 둘나의 작은 맘 속에 남은 기억들,21647
swai (스와이),짝사랑 (Feat. 폴킴),2017-02-17,한참을 혼자서 맴돌았지나만의 생각인 줄 모르고하루하루가 너의 생각으로가득한 나만의 날이었어너를 사랑해선 안될 것 같아혼자 널 바라보는 일도너의 사랑 모두 끝난 뒤에만날 수 있을까그때까지 널 기다릴거라말도 못하는 나는잠들기 전에도 떠오르고일어나면 생각나는 그 사람하루하루가 우리 둘만으로가득할 그 날이 언제 올까너를 사랑해선 안될 것 같아혼자 널 바라보는 일도너의 사랑 모두 끝난 뒤에만날 수 있을까그때까지 널 기다릴거라말도 못하는 나는혼자 아픔뿐인 난그 흔한 고백 한번 못하고너를 이젠 지우려 하고 있어너를 사랑해선 안될 것 같아혼자 널 바라보는 일도너의 사랑 모두 끝난 뒤에만날 수 있을까그때까지 널 기다릴거라말도 못하는 나는널 사랑해선 안될 것 같아,16691
김나영,꺼내본다,2016-10-18,널 지워 내 가슴에 묻고 꼭 잊겠다 다짐해 놓고 또 난 울어 또 난 울어 긴 시간이 지나고 나면 언젠가 널 다 잊고 지낼거라 생각했어 항상 내쉬는 숨 속에도 너의 향기가 스며있고 한발 내딛는 걸음에도 난 너를 따라가 어딜 봐도 내 눈은 어딜 가도 내 맘은 흐려져 버린 우리 추억에 어디에도 없는 너만 찾고 어딜 보면 보일까 어딜 가면 잡힐까 어떻게 하면 돌아갈 수 있을까 또 널 꺼내본다 널 만났던 모든 순간이 바람처럼 내 맘을 흔들다 가면 또 난 이럼 안되는 줄 알면서 다시 너를 또 찾고 있어 아직 사랑한 그 시간에 난 널 따라가 어딜 봐도 내 눈은 어딜 가도 내 맘은 흐려져 버린 우리 추억에 어디에도 없는 너만 찾고 어딜 보면 보일까 어딜 가면 잡힐까 어떻게 하면 돌아갈 수 있을까 또 널 불러본다 서러운 마음에 포기해도 지워도 그게 잘 안돼 너무 사랑했어 널 어딜 봐도 내 눈은어딜 가도 내 맘은사라져버린 우리사랑에헤어나지 못한 채 너만 부르고어딜 보면 보일까어딜 가면 잡힐까어떻게 하면 돌아갈 수 있을까또 널 꺼내본다,35270
김나영,어땠을까,2015-12-30,지내봐도 다시 너였고숨어있던 너를 찾고오늘도 난눈을 감아 봐도또 네가 보여마주했던 날들아직 난그 자리에 서있어조금 사랑했더라면조금 네 맘 가졌다면이 아픔도 이 순간도어땠을까그때 그랬었더라면한발 더 물러섰더라면네가나의 곁에 있을까그때 그랬다면 어땠을까함께했던 추억왜 널 미워 못하게 만들어조금 사랑했더라면조금 네 맘 가졌다면이 아픔도 이 순간도어땠을까그때 그랬었더라면한발 더 물러섰더라면네가나의 곁에 있을까그때 그랬다면 어땠을까아직 내 맘이너를 지울자신이 없나 봐너 없인 내 맘텅 비었으니까다른 사랑 못 할 만큼너를 잊지 못 할 만큼내 마음도네 모습도 그대론데그때 그랬었더라면조금 더 잘해줬더라면네가아직 곁에 있을까그때 그랬다면어땠을까,76963
다비치,그래도 우리,2018-01-25,아마도 그때쯤 일 거야헤어짐을 느꼈던 거우리 같은 일로 매번 싸우던 그 즈음항상 똑같은 그 자리 두 사람뭐가 이렇게 다른 걸까넌 거기 난 여기더 이상 좁혀지지 않는 우리 사이같은 날이 반복될 걸 알 것 같아서선뜻 얘기하지 못해그래도 함께 있자고입가에 맴돌지만 참게 되는 말이대로는 더 이상 행복할 수 없을까아마도 이때쯤일 거야사랑을 느꼈던 게서로 생각하며 매일 그립던 그 즈음항상 같을 줄 알았어 우리 둘뭐가 그렇게 좋았을까넌 이게 난 그게더 이상 그때로돌아갈 수 없단 걸 알아같은 날이 반복될 걸 알 것 같아서선뜻 얘기하지 못해그래도 함께 있자고입가에 맴돌지만 참게 되는 말이대로는 더 이상 행복할 수 없을까보고 싶어 듣고 싶어아무 일 없던 것처럼다시 사랑한다고 말하고 싶어져같은 날이 반복돼도 함께 있자고매번 서로 기대하고 상처받지만네가 옆에 없는 게나에겐 더 아플 테니까불안한 마음 가지고 너에게 갈게아무 말 없이 그냥나를 꼭 안아줘,4476
정키,그래서 (Feat. 민서),2018-12-05,잠깐 기다려너에게 할 말이 있어가끔씩 이상한 기분이 들어서나도 모르게사소한 너의 모든 게익숙한 탓인지아무런 감정이 더는 들지 않아가끔은 난 말야이런 널 마주하기 싫어어떤 표정을 지어야 할 지정말 모르겠어끝이란 게 아냐이런 날 알아줬으면 해나도 너만큼 힘이 들어서얘기하는 거잖아잠깐이면 돼우리 서로 떨어지자이런 말하는 게 나도 쉽지는 않아서하루하루가 가까워지면 질수록나라는 사람이 없어지는 기분너는 모를 거야가끔은 난 말야이런 널 마주하기 싫어어떤 표정을 지어야 할 지정말 모르겠어끝이란 게 아냐이런 날 알아줬으면 해나도 너만큼 힘이 들어서얘기하는 거야싫어진 게 아니야어쩔 수 없단 말야누가 잘못한 것도그저 자연스런 일이야솔직하고 있잖아날 사랑한다면너로 물든 내 시간들이숨 쉴 수 있게가끔은 생각해너의 품 안에 있는 내가너무 외로워 지치기만 해견딜 수 없는걸끝이 다가오면거짓말처럼 다시 네가보고 싶어서 그리워하며찾을 것만 같아서,10499
