가수명,노래제목,발매일,가사,좋아요수,감정
비투비,아름답고도 아프구나,2018-11-12, 사랑을 만나 이별을 하고 수없이 많은 날을 울고 웃었다 시간이란 건 순간이란 게 아름답고도 아프구나 낭만 잃은 시인 거의 시체 같아 바라고 있어 막연한 보답 아픔을 피해 또 다른 아픔을 만나 옆에 있던 행복을 못 찾았을까 너를 보내고 얼마나 나 많이 후회했는지 몰라 지금 이 순간에도 많은 걸 놓치고 있는데 말이야 시간은 또 흘러 여기까지 왔네요 지금도 결국 추억으로 남겠죠 다시 시작하는 게 이젠 두려운걸요 이별을 만나 아플까 봐 사랑을 만나 이별을 하고 수없이 많은 날을 울고 웃었다 시간이란 건 순간이란 게 아름답고도 아프구나 Yeah love then pain love then pain Yeah let's learn from our mistakes 우린 실패로부터 성장해 성장해 사랑은 하고 싶지만 Nobody wants to deal with the pain that follows no I understand them though Yeah 이해돼 이해돼 사랑이라는 게 매일 웃게 하던 게 이제는 매일 괴롭게 해 괴로워 아픈 건 없어지겠지만 상처들은 영원해 But that's why it's called beautiful pain 시간은 슬프게 기다리질 않네요 오늘도 결국 어제가 되겠죠 다시 시작하는 게 너무나 힘든걸요 어김없이 끝이 날까 봐 사랑을 만나 이별을 하고 수없이 많은 날을 울고 웃었다 시간이란 건 순간이란 게 아름답고도 아프구나 사랑이란 건 멈출 수 없다 아픔은 반복돼 이렇게도 아픈데 또 찾아와 사랑은 남몰래 우린 누구나가 바보가 돼 무기력하게도 한순간에 오래도록 기다렸다는 듯 아픈 사랑 앞에 물들어가 그대를 만나 사랑을 하고 그 어떤 순간보다 행복했었다 그대는 부디 아프지 말고 아름다웠길 바란다 사랑을 만나 이별을 하고 수없이 많은 날을 울고 웃었다 시간이란 건 순간이란 게 아름답고도 아프구나  ,170455,happy
임한별,밤하늘의 별을(Original),2021-11-02, 너의 집 앞에서 한참 동안 기다린 거야 네가 오는 길에 혹시나 마주칠까 봐 널 만나게 되면 어떤 얘길 먼저 꺼낼까 우연히 널 만난 것처럼 보여야 할 텐데 첫눈에 반해 널 사랑했어 어떻게 표현할지도 몰라 눈치도 없이 나의 심장만 두근거려 골목을 돌아서 네가 걸어오는 게 보여 준비한 선물과 편질 전해줘야 하는데 용기를 낸 순간 네 곁으로 다가갔지만 안녕이란 말만 하고서 지나쳐버렸네 첫눈에 반해 널 사랑했어 어떻게 표현할지도 몰라 눈치도 없이 나의 심장만 두근거려 너를 기다리다가 문득 행복한 상상이 현실이 되길 기도하니까 내 눈엔 너만 빛나고 있어 yes you 지금 고백할 거야 나를 받아줘 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아 줘 그저 내 곁에만 있어줘 떠나지 말아 줘 바보처럼 돌아서던 내 모습 뒤로 내 이름을 부르는 목소리 바로 너였어 나와 함께하고 싶다는 그 말을 전하고 그렇게 우리의 사랑은 시작됐던 거야 라라라라 랄라라랄라 라라라 랄라라라라 라라라 랄랄라랄라 라랄랄라 내 곁에 있어줘 라라라라 랄라라랄라 라라라 랄라라라라 라라라 랄랄라랄라 라랄랄라  ,19907,happy
씨야,결혼할까요,2007-05-25, I love you I love you I love you I love you I love you I love you 그대의 작은 목소린 무엇보다 내게 큰 힘이 돼죠 세상을 등지고 싶을때 그대의 작은 어깨에 기댈때면 난 다시 꿈을 꾸죠 희망이란 놈을 찾죠 내 두 눈에 항상 그댈 담고 싶네요 사랑해 i love u 푸른 하늘 보다 더 넓은 바다 보다 더 그댈 사랑 할 수 있는 나에요 i love u 세상 어떤 말도 부족하지만 그대에게 전하고 싶은 말 그대를 사랑할께요 영원히 지켜줄께요 처음과 같은 맘을 매일 선물할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 알고있나요 그대 때문에 사랑하는 법을 배웠어요 우는것조차 모르던 내가 당신이 아파 할때면 눈물이 나요 아프지 마요 언제나 웃어요 약속할께요 그대만을 사랑해요 My Lover Lover 너무 감동되죠 I love u 거친 파도가 와도 먹구름 밀려와도 내 사랑은 그대와 함께하죠 I love u 어두운 밤에 그대 길 잃어도 내 사랑이 환하게 비추죠 그대를 사랑할게요 영원히 지켜줄게요 처음과 같은 맘을 매일 선물 할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 나나나나나 나나 나나나나나 나나 나나나나나 그댈 사랑해요 서쪽 하늘에 해가 뜨는날까지 그대만을 사랑하고 싶어요 내 행복을 다 잃어도 세상 눈물 다 가져도 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속할께요 세상 누구 보다 더 그댈 사랑할께요 I love you I love you I love you I love you I love you I love you   ,8248,happy
제휘,Dear Moon,2018-04-12,Dear moon my moon 가까워지지 않아 잰 걸음으로 따라가도 닿지 않는 달처럼 Oh moon like moon 왜 사라지지 않아 뒤돌아 등지고 도망쳐 봐도 따라오는 저 달처럼 넌 우연일까 눈 맞추던 순간 나에게 말을 걸어오는 낮은 목소리가 들린 것 같아 답을 한다 망설이던 대답 아스라이 거기 너를 왜인지 난 다 알 것 같다고 Oh moon My moon 안으려는 게 아냐 내 품에 안기엔 턱없이 커다란 걸 알아 Oh moon My moon 가지려는 게 아냐 네가 나에게 이리 눈 부신 건 내가 너무나 짙은 밤이기 때문인 걸 우연일까 하얀 얼굴 어딘가 너에겐 어울리지 않는 그늘진 얼룩을 본 것만 같아 손을 흔든다 널 부르는 수화 여기 너와 몹시 닮은 외톨이의 존재가 있다고 잘 살아지지 않아 My only moon 가 닿지 않을 만큼 깊어진 밤까지 하얀 빛을 그 고요를 오늘 밤도 잠들지 않을게 ,45006,happy
2NE1,Lonely,2011-05-12,지금 내가 하는 얘기 널 아프게 할지 몰라 아마 날 죽도록 미워하게 될 꺼야 내가 예전 같지 않다던 네 말 모두 틀린 말은 아니야 나도 변해버린  내가 낯 설기만해 너무 착한 넌데 넌 그대로인데  Oh I don't know I don't know 내가 왜 이러는지 그토록 사랑했는데  넌 여기 있는데  Oh I don't know 이제 날 찾고 싶어 Baby I'm sorry  너와 있어도 난 lonely 사랑하긴 내가 부족한가 봐 이런 못난 날 용서해 I'm sorry 이게 너와 나의 story 사랑이란 내겐 과분한가 봐 네 곁에 있어도 Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely 네가 잘못한 게 아냐 내가 이상한 거야 이미 오래 전부터  난 준비 했나 봐 이별을 정말 잘해주고 싶었는데 하필 사랑 앞에서는 왜 이렇게 한없이  작아지고 외로운지 너무 착한 넌데 넌 그대로인데  Oh I don't know I don't know 내가 왜 이러는지 그토록 사랑했는데  넌 여기 있는데  Oh I don't know 이제 날 찾고 싶어 Baby I'm sorry 너와 있어도 난 lonely 사랑하긴 내가 부족한가 봐 이런 못난 날 용서해 I'm sorry 이게 너와 나의 story 사랑이란 내겐 과분한가 봐 네 곁에 있어도 Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely Baby I'm so lonely lonely  lonely lonely lonely Cuz I'm just another girl 이 밤이 외로웠나 더는 견딜 수 없어 good bye Cuz I'm just another girl 너무나 외로워  지금 네 곁에 있어도 baby I'm so lonely lonely lonely lonely Baby I'm so lonely lonely lonely lonely lonely Baby I'm so lonely lonely lonely lonely lonely Baby I'm so lonely lonely lonely lonely lonely ,18788,happy
SS501,내 머리가 나빠서,2009-01-08, 내 머리는 너무나 나빠서 너 하나밖에 난 모르고 다른 사람을 보고있는 넌 이런 내 마음도 모르겠지 너의 하루에 나란 없겠지 또 추억조차 없겠지만 너만 바라만 보고있는 난 자꾸 눈물이 흐르고있어 너의 뒷 모습을 보는것도 난 행복이야 아직 나의 마음을 몰라도 끝내 스치듯이 가도 니가 너무 보고싶은 날엔 너무 견디기 힘든 날에는 너를 사랑한다 입가에 맴돌아 혼자 다시 또 crying for you 혼자 다시 또 missing for you Baby I love you I'm waiting for you 너의 하루에 난 없겠지 또 기억조차 없겠지만 너만 바라만 보고있는 나 혼자 추억을 만들고 있어 내겐 사랑이란 아름다운 상처같아 너의 예쁜 미소를 보아도 함께 난 웃지도 못해 니가 너무 생각나는 날엔 가슴 시리고 슬픈 날에는 니가 보고싶다 입가에 맴돌아 혼자 다시 또 crying for you 혼자 다시 또 missing for you Baby I love you I'm waiting for you Bye bye never say good bye 이렇게 잡지 못하지만 I need you 아무 말도 못해 I want you 바래도 다시 바래도 니가 너무 보고싶은 날엔 너무 견디기 힘든 날에는 너를 사랑한다 입가에 맴돌아 혼자 다시 또 crying for you 니가 너무 생각나는 날엔 가슴 시리고 슬픈 날에는 니가 보고싶다 입가에 맴돌아 혼자 다시 또 crying for you 혼자 다시 또 missing for you Baby I love you I'm waiting for you   ,41490,happy
뉴이스트,여보세요,2013-02-13,여보세요 밥은 먹었니 어디서 뭐 하는지 걱정되니까  Tell me baby where you at 여보세요  Call me baby I be there Wherever you are I be there 여보세요 Pick up the phone girl Cuz I gotta be there 차가 막히는지  늦을 건가 봐 급한 맘에 배터리는 또  깜빡 하셨나 봐 나는 또 왠지 비가 올 것 같애  고민을 하다가 너를 좀 더 빨리 보고 싶은 맘에  일찍 데릴러 나가 깜짝 놀라겠지  날 보면 좋아하겠지 길이 엇갈리지  않게 더 달려야겠지 저 멀리 니 모습  보이는데 왜 난 전활 걸어 한다는  말이 결국엔 여보세요 밥은 먹었니 어디서 뭘 하는지  걱정되니까 여보세요  왜 아무 말 못하니 여보세요 여보세요 널 데릴러 왔어  비가 올까 봐 혼자 쓸쓸히  빗속을 걸을까 봐  집 앞이야 니가 보여  누구랑 있나 봐 솔직히 말 못했어  그럼 널 잃을까 봐 나도 알아 내 행동 비겁해 비겁하다 놀려도  난 절대 못 가 더는 이런 내 맘 알까 너는 네게 가는 길이  내게 왜 지옥행 같이 느껴져야 되는건지 이건 말이 안돼 니 외로움 달래 준건 난데 어서 말해 제발  아무 사이 아니라고  왜 난 안돼 한 번 해봐  아무 말이라도 지금 너 거기서 뭐하니 지금 널 멀리서 멍하니 바라보는 내가  느껴지지 않니 하고픈 말은 다 내일 해 미안하단 말도 내일 해 자꾸 어딜 봐 바로 여기가  니가 있어야 할 자린데 여보세요 밥은 먹었니 어디서 뭘 하는지 걱정되니까 여보세요 왜 아무 말 못하니 여보세요 여보세요 널 보고 싶었어 비가 오니까 비가 내리니까 너와 걷던 거리를 걷다 보니까 죽겠으니까 집 앞이야 보고 싶어 너는 아닌가 봐 솔직히 미치겠어 너 아님 안되나 봐 Baby I can’t let you go 밥은 먹었니 I only think about you girl What would I be without you girl 어디서 뭐 하는지 Don’t tell me lies Don’t say goodbye I just wanna let you know 왜 아무말 못하니 I only think about you girl What would I be without you girl What would I be without you girl 여보세요 ,130674,happy
서현진,사랑이 뭔데,2016-05-17, 나른한 햇살이 찾아들면 멍하니 창밖을 바라만보다가 지난 생각속에 잠겨 떠올리던 너 어디에서 무얼 하고 있을까 좋았던 기억에 혼자 웃다 무거운 추억에 또 마음 다칠까 애써 태연한척해도 들킬 수밖에 없는 내맘 내맘 왜이래 사랑이 뭔데 뭔데 내 맘이 왜 이래 이래 매일 눈물에 콧물에 가슴만 쓰리던 짓인데 사랑이 뭔데 뭔데 또 가슴이 뛰네 뛰네 너의 달콤한 입술에 내 맘을 포개고 싶은데 dream a dream of you a dream I’m kissing you 핑크빛 꽃잎이 흩날리고 따스한 바람에 휘파람을 불고 네게 전화걸까 말까 고민하는 나 언제부터 네게 빠졌던 걸까 어젯밤 꿈속에 고백하고 온종일 전화만 쳐다 보는데 애써 무심한척해도 들킬 수밖에 없는 내 맘 내 맘 왜이래 사랑이 뭔데 뭔데 내 맘이 왜 이래 이래 매일 눈물에 콧물에 가슴만 쓰리던 짓인데 사랑이 뭔데 뭔데 또 가슴이 뛰네 뛰네 너의 달콤한 입술에 내 맘을 포개고 싶은데 dream a dream of you a dream I’m kissing you 부끄러워 난 아무 말 못하고 멀어지는 널 잡지 못한 나는 정말 바보 그래 너는 정말 바보인가봐 사랑이 뭔데 뭔데 왜 이래 이래 가슴만 아픈 짓인데 사랑이 뭔데 뭔데 또 뛰네 뛰네 사랑한다고 말을해 사랑이 뭔데 뭔데 내 맘이 왜 이래 이래 매일 눈물에 콧물에 가슴만 쓰리던 짓인데 사랑이 뭔데 뭔데 또 가슴이 뛰네 뛰네 너의 달콤한 입술에 내 맘을 포개고 싶은데 dream a dream of you a dream I’m kissing you  ,63310,happy
비투비,두 번째 고백,2013-04-10,오늘은 굉장히 중요한 날입니다 한 여자에게 두 번째 고백을 하는 날이거든요 그녀에게 다시 찾아가려 합니다 과연 그녀가 제 마음을 받아줄까요 오늘은 왠지 느낌이 좋습니다 자존심도 다 버리고 두 번째 고백 하고 싶은 말이 많아도 생략할게 멋지게 나 변할게 오늘부터 다시 매일 견우와 직녀처럼 멋진 사랑을 해 볼래 널 위해 방안에서 틀어박혀 고백 연습 너만을 위한 세레나데 노래도 연습 넘어져도 다시 일어나 걱정하지 마 용기를 내자 서툰 편지를 쓰고 커다란 곰 인형 공급 우리가 사랑했던 시간도 그토록 꿈결 같던 시간도 모두 전부 다 잊을 수가 없는데 All day 너만 생각해 어제도 밤을 세웠네 Girl 가슴이 답답해 잠 못 이루는 밤에 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 I want you back baby I swear it's true Won't ever make you jealous I'll make them jealous of you Come back to me for eternity And take a listen to my 2nd confession please 너와 난 이제 신호 하나를 끼고서 마주 봐 어쩌나 심장이 터져 버릴 것만 같아 누가 그녀에게 내 사랑을 큐피트의 화살을 날려줘 날 살려줘 어랏 초록 불이다 돌아올 수 있을까 그때가 다시 나와 함께 할 수 있을까 그대가 다시 가로수 길 밥집 논현동의 아침 다시 한 번 맛 보고 싶은 골목길에서의 키스 여지껏 힘겨웠던 시간들 갈수록 후회 뿐인 나날들 모두 전부 다 되돌리고 싶은데 All day 너만 생각해 어제도 밤을 세웠네 Girl 그대는 어떤지 돌아가고 싶은데 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 남들의 시선이 두렵진 않아 두 번째 고백 그대를 위한 세레나데 두 번째 고백 Throwing away my pride to ask you to come back I'll be your shoulder strap and you can be my backpack 그때로 다시 돌아가고 싶은데 그대는 왜 Oh 왜 내 맘 몰라주나요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 Oh 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 ,78624,happy
도영 (DOYOUNG),Like a Star,2021-10-01, 지친 하루에 길을 헤맬 때 하늘 위의 별을 문득 바라보면 손에 닿지 않아도 느껴지는 따스함 내게 와줘 위로가 돼줘 Like a Star 언제나 내 곁에 있어줘 어두운 밤을 비추는 별처럼 항상 곁에서 밝게 비춰줘 Like a Star 날 보며 환하게 웃어줘 내겐 너무나 소중한 그대 항상 곁에 내 곁에 머물러 줘 가끔 난 웅크린 채 잠들곤 해 많은 아픔을 가린 채 쓸쓸한 방 한켠에 그 누구도 날 이해하지 못할 때에 문을 두드려 나를 위로하던 Like a Star 언제나 내 곁에 있어줘 어두운 밤을 비추는 별처럼 항상 곁에서 밝게 비춰줘 Like a Star 날 보며 환하게 웃어줘 내겐 너무나 소중한 그대 항상 곁에 내 곁에 머물러 줘 한걸음 더 조금만 더 다가가 그대 외롭지 않게 안아줄게요 시간이 흘러도 변치 않을 거야 Like a Star 언제나 내 곁에 있어줘 어두운 밤을 비추는 별처럼 항상 곁에서 밝게 비춰줘 Like a Star 날 보며 환하게 웃어줘 내겐 너무나 소중한 그대 항상 곁에 내 곁에 머물러 줘  ,26001,happy
