,가수명,노래제목,발매일,가사,좋아요수,감정
10,성시경,첫 겨울이니까,2019-12-09,무얼 고를까 추운 겨울이니까 캐시미어 스웨터는 어떨까 처음이니까 초록이 날까 다홍색은 어떨까 보라 빛 밤 구름 사이로 하얀 눈이 내리면 크리스마스 온 세상이 반짝이네 크리스마스 그중 제일 반짝이는 숨막히게 예쁜 너와 우리 둘만의 첫 겨울이니까 뭐가 좋을까 로즈 골드 빛 목걸인 어떨까 언젠가 풀 반지 곱게 엮어 고백을 할 땐 눈이 오면 좋겠어 크리스마스 온 세상 포근해 지네 크리스마스 그 중에 가장 따듯한 너의 품 속에서 항상 너의 곁에서 사랑해 있잖아 널 보면 나의 맘에 눈처럼 가득히 날리고 영원토록 녹지 않아 우리의 겨울이 우리 사랑이 하얗게 쌓여가 크리스마스 사랑만 가득히 크리스마스 온 세상 환희 반짝이네 크리스마스 그 중에 제일 반짝이는 숨막히게 예쁜 너와 멋진 너와 크리스마스 사랑만 가득히 온 세상 메리 크리스마스 그 중에 가장 따듯한 잠든 너의 품속에서 내 품속에서 잠든 네 꿈속에서 항상 너의 곁에서 늘 우리 둘이서 ,58622,happy
11,로꼬,Say Yes,2016-08-29,니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 간지럽게만 느껴지던 눈 빛이 이제는 익숙 하단듯이 웃음 짓지 그 쪽으로 걸어가기만 하면 돼 라고 친구들은 계속해서 날 부추기지만 아직은 무거운 구두의 뒷 굽 차라리 벗어버리고 싶은 이 밤의 끝 손을 내밀어 줬으면 해 맨발로 너에게 뛰어갈 수 있게 끔 복잡하기만한 하루에 매 시간 머리를 굴리지만 난 지금에서야 깨달은 건데 결국 다 버려지고 너만 남아 지난 봄에는 널 우연히 봤고 더 이상은 우연이 아니였으면 해 스치기만 했던 너의 손을 잡고 어떤 길이라도 같이 걸었으면 해 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true 어디든 갈 수 있어 이건 거짓말이 아니야 이제부터는 나의 옆이 제일 편한 자리야 입술을 오므리고 내는 소리와 같이 내 이름을 불러줬음 좋겠어 내가 뒤로 떨어져서 걷더라도 단지 이 목소리를 들어줬음 좋겠어 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 내가 바라는 단 한가지 니가 내곁에 있어주는 것 니가 날 보며 웃어주는것도 내 얘길 들어주는것도 난 그걸로도 충분한데 you 너를 보며 웃잖아 두 눈이 말하잖아 너도 이렇게 대답해줘 say yes say yes 너라서 좋아 니가 날 울려도 좋아 너는 나의 모든 전부니까 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true ,89514,happy
12,긱스 (Geeks),"Officially Missing You, Too",2012-11-01,"애써 너에게 건냈던 말 good bye 이젠 혼자 남게된 이 밤 without you 난 아직도, I'm officially missing you 널 기다리던 밤처럼 길고 어둡던 우리 사이 공백 이게 끝이 아니길 바래 I wanna go back 너가 원하던 거 다 고친 지금에야 넌 어디로 갔는지 난 홀로 남아 lonely 오늘 따라 부는 바람도 참 시린 것 같은데 넌 왜이리 멀쩡해 보이는 건지 눈치도 없는 너지만 예전처럼만 웃어주면 돼 Ooo can't nobody do it like you Said every little thing you do Hey baby say it stays on my mind And I I'm officially missing you 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 too hard 너무 어려워 날 몰라주는 너도 서러워 I'm officially missing you officially missing you yeah I'm officially missing you, too 내가 아무 말도 하지 못한 이유 우리 사이 공백은 너무 길고 어떤 단어보다 너가 meaningful on another round 더 멀어져 가며 흘러가는 어색했던 오늘 하루가 내겐 아쉽고 어제로 남아있어 이 밤이 지나도 아직도 여기 있어 여전히 내 머릿속 너 때문에 늘 뒤척거리는 매일 밤 내 마음만 더 지쳐가 가로등 불은 거릴 비춰 흔들거리는 속을 변기 위에 비워 어 아무리 속을 비워도 남은 추억으로 취해 어지럽고 girl 난 아직 기댈 곳이 필요해 so 이 노래로 너를 씻어내 습관처럼 그리워해 날 보며 웃는 니 사진을 내 두 눈에 담고 미소를 지으면 다시 할 수 있을까 oh 그날처럼 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 추억 속 너에겐 못된 일이라 난 할 수가 없어 이렇게 널 그리워하는 날 알고 있는지 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 too hard 너무 어려워 날 몰라주는 너도 서러워 I'm officially missing you officially missing you can't nobody do it like you Said every little thing you do Hey baby say it stays on my mind And I I'm officially missing you ",123533,happy
13,비비 (BIBI),"아주, 천천히",2022-02-20,눈빛만으로 알 수가 있지 어떤 세상을 살아왔는지 처음 내민 너의 따뜻한 손길에 내 마음이 전부 녹아내 우린 서로 앞을 주저하고 현실 속에 무너져 가던 이런 나를 잊어가게 해 I'm telling the truth 너에게 가는 중 이젠 나를 봐줘 내가 다가갈게 천천히 아주 천천히 손짓만으로 알 수가 있지 너가 얼마나 착한 애인지 우리가 지나왔던 시간들이 이제야 날 버티게 해 우린 서로 앞을 주저하고 현실 속에 무너져 가던 이런 나를 잊어가게 해 I'm telling the truth 너에게 가는 중 이젠 나를 봐줘 내가 다가갈게 천천히 아주 천천히 ,35147,happy
14,경서,밤하늘의 별을(2020),2020-11-14,밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 참 많이 어색했었죠 널 처음 만난 날 멀리서 좋아하다가 들킨 사람처럼 숨이 가득 차올라서 아무 말 하지 못했는데 너는 말 없이 웃으며 내 손 잡아줬죠 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 널 좋아하는 내 마음이 표현이 안 돼 꿈이 아니면 좋겠어 자꾸 웃음 나와 내 모든 걸 다 준대도 너에겐 아깝질 않아 이 순간이 영원하길 난 정말 행복해 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 그저 내 곁에만 있어줘 떠나지 말아줘 많고 많은 사람 중에 너를 만나서 행복하고 싶어 두 번 다시 울지 않을래 오직 내 눈에는 너만 보여 나를 아껴줘 이제부터 혼자가 아니야 우린 함께니까 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나 ,197543,happy
15,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요,2021-03-14,따스한 바람이 불어오는 날엔 포근한 미소로 나를 또 반겨주던 그대란 사람 설레는 이 맘 이렇게 난 너에게 빠졌나 봐 무심한 듯 곁을 지켜주던 그대 느껴본 적 없는 이런 설렘이 누군가를 짝사랑하는 마음인가 봐 그냥 아쉬움만 남는걸 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 나를 데려다주던 그날 밤 문득 내게 건넨 그 한마디에 괜스레 얼굴이 붉어지고 조심스럽게 oh oh oh 그대에게 oh oh oh 사랑스러운 그대 귓가에 속삭여줄게요 사실 그대와 있던 모든 순간은 내게는 소중하고 너무나 고마워서 정말 아름다워요 조심스럽게 oh oh oh 그대에게 oh oh oh 사랑스러운 그대 귓가에 고백해볼게요 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 부담스럽지 않게 다가가 볼게요 부디 날 미워하지 말아요 그저 매일 이렇게 날 보며 웃어줘요 더는 바랄 게 하나 없죠 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 ,67373,happy
16,멜로망스,선물,2017-07-10,빛이 들어오면 자연스레 뜨던 눈 그렇게 너의 눈빛을 보곤 사랑에 눈을 떴어 항상 알고 있던 것들도 어딘가 새롭게 바뀐 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 별생각 없이 지나치던 것들이 이제는 마냥 내겐 예뻐 보이고 내 맘을 설레게 해 항상 어두웠던 것들도 어딘가 빛나고 있는 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 너를 알게 된 뒤 보이는 모든 것들이 너무 예뻐 보여 그렇게 신난 아이처럼 순수한 사람이 된 것 같아 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 깊은 사랑에 빠진 순간 ,334594,happy
17,정준일,있잖아 널 사랑해,2016-12-29,따뜻한 봄바람처럼 상냥하게 내게 불어오던 너 찬란하게 피어나던 여름의 꽃처럼 반짝이던 너 널 사랑해 아무도 들을 수 없게 내 귓가에만 들리게 밤새워 준비한 서툰 고백 있잖아 널 사랑해 온종일 네가 아른거릴 때 몇 번씩이나 네 안부가 궁금할 때 무심히 너의 사진을 보다가 하염없이 뜬 눈으로 지새던 밤 있잖아 내가 널 정말 좋아하게 됐나봐 처음조차 기억나지 않는 너를 향한 시작 서툴고 모자란 내가 너를 아프게 할까봐 움츠린 내 마음을 너는 알까 따뜻한 봄바람처럼 상냥하게 내게 불어오던 너 찬란하게 피어나던 여름의 꽃처럼 반짝이던 너 널 사랑해 아무도 들을 수 없게 내 귓가에만 들리게 밤새워 준비한 서툰 고백 있잖아 널 사랑해 따뜻한 봄 향기처럼 잠시만 네 곁에 머물 수 있게 불어오는 바람 되어 흐르는 눈물 내가 닦아줄 테니 널 사랑해 밤새워 준비한 말 설레어 못하는 말 이제서야 네게 고백할게 나는 너를 사랑해 나는 너를 사랑해 ,25523,happy
18,멜로망스,사랑인가 봐,2022-02-18,너와 함께 하고 싶은 일들을 상상하는 게 요즘 내 일상이 되고 너의 즐거워하는 모습을 보고 있으면 자연스레 따라 웃고 있는 걸 너의 행동에 설레어하고 뒤척이다가 지새운 밤이 많아지는데 이건 누가 봐도 사랑일 텐데 종일 함께면 질릴 텐데 나 돌아서도 온통 너인 건 아무래도 사랑인가 봐 점점 너와 하고 싶은 일들 생각하면서 하룰 보낸 날이 많아지는데 이건 누가 봐도 사랑일 텐데 종일 함께면 질릴 텐데 나 돌아서도 온통 너인 건 아무래도 사랑인가 봐 너의 행복해하는 모습을 보고 있으면 나도 모르게 따라 웃는데 이 정도면 알아줄 만하잖아 너도 용기 낼만 하잖아 나만 이런 게 아니라면 우리 만나볼 만하잖아 아무래도 사랑인가 봐 ,147178,happy
19,10CM,서랍,2021-12-07,어린 햇살 아래서 뛰어놀곤 했었던 가쁜 숨결 굽이진 골목 지나 길을 따라가보면 같은 기억 어른이란 시간은 아직 어색하게도 나를 채워 많은 게 변했다 해 여긴 그대로인걸 You’ll feel the same 땀에 젖어 놀았던 우리는 너와 난 이젠 돌아갈 순 없지만 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 마주 보던 그림자 마주 보던 우리는 여기 still same 시간은 언제나 날 울리는 존재지만 놓질 못해 많은 게 더 지날 땐 여긴 또 하나의 Our home 그땐 우린 어딜까 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 혼자서 숨겼던 널 향한 마음은 알게 하진 않을 거야 널 볼 수 있다면 그걸로 충분해 담을게 두 눈에 언제든 항상 낡아진 서랍 속에서 작았던 서롤 기억해 When I’m far from home Always 떠올라 난 아직도 반짝이던 네 두 눈 ,65760,happy
20,정효빈,처음이라서,2019-04-16,떨어질 줄 몰랐던 너의 품도 잡은 손에 스치던 봄바람도 떨리던 입맞춤도 맞춰 걷던 걸음도 내겐 모두 처음이라서 고된 하루 끝을 토닥여 준 것도 작은 편지로 큰 눈물을 준 것도 벚꽃과 여름바다 단풍과 함박눈이 처음이라서 힘든가 봐 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 다 무뎌지는 날 언젠가 오겠지 그때까지만 더 아파해볼게 누군가를 위한 노랠 부른 것도 세상에 누군가를 자랑한 것도 너를 떠올리는 게 나를 떠올리는 일이 되는 게 익숙해져 버려서 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 널 보며 웃는 날 언젠가 오겠지 그때까지만 더 아파해볼게 사실은 겁이 나 이젠 어딜 가도 너와의 추억만 있을까 봐 그래도 처음이라 힘든 거니까 더 아픈 거니까 처음엔 다 그런 거니까 고생했어 많이 행복했었어 너라서 다 너라서 유난히 좋았나 봐 시간이 지나면 먼 추억이 되어 언젠간 웃겠지 참 좋았어 네가 내 처음이라서 ,58777,sad
21,포맨 (4MEN),눈 떠보니 이별이더라,2017-10-24,분명 나는 꿈을 꾼 거다 눈 떠보니 이별이더라 휴대폰을 확인해 봤더니 다시 봐도 이별이더라 헛웃음만 흘러나왔고 두 다리는 풀려 버렸고 문득 스친 네 얼굴 생각나 눈물이 하염없이 쏟아지는데 대체 무슨 짓을 한 건데 엎질러진 물에 난 젖은 채로 꼼짝 못하고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 눈 떠보니 이별이더라 이건 절대 현실이 아니야 눈 감으면 꿈이 될 거야 애써 부정해봐도 이별이 맞잖아 눈물마저 말라버리고 네 이름만 중얼거리고 움직이지 못하고 웅크린 채 너만 외치고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 꿈만 같던 사랑도 다 이별하면 현실이야 알람 하나 없이 깨어나 한 번만 더 기회를 줘 다시 하면 잘할 텐데 내가 바보 같아 화가 나 참을 수가 없다 그 수많은 이별 뒤에도 당연하게 이별이 온다 정말 가슴을 찢어 놔도 네가 날 짓밟아도 나 아닌 딴 사람과 평생 사랑해도 나는 너 아니면 곤란한데 평생 나는 너 아니면 안 되는데 눈 떠보니 이별이더라 ,115695,sad
