가사,감정
 위험해 아슬아슬해 간신히 끈을 잡았는데 넌 가위질을 하려고 해 너의 호의는 필요 없어 인내심이 많지 않아 내겐 유혹으로밖에 안 보여 오지마 내게 오지마 선 넘지마 please 주지마 술은 주지마 취하면 너 어떻게 해볼라니까 넌 내게 술을 권하지마 후회할 걸 알아 넌 내게 용기를 주지마 오늘뿐인 걸 알고 있어 내게 진심을 바라면 그 술은 절대 주지마 헛소릴 하고 악마의 춤을 출거니까 마치 밖엔 시원한 바람이 불지만 세상이 너무 험해서 널 내 옆에만 둘 거니까 남자는 전부 똑같대 아니 술 마신 남잔 다 똑같애 너 말곤 아무것도 안 보인다는 건 니가 아닌 다른 것들은 다 잊고 있는 거야 그러니까 내게 술을 주지마 맨 정신에도 충분히 외로우니까 가위질을 하게 날 내버려 두지마 사랑 찍고 본능 알기 전에 너부터 먼저 알고 싶으니까 야 이성적이고 싶어 이게 나잇값이라는데 싸게 주고 싶어 굳이 움직이지 않아도 돼 내가 하는 말이 수작이 되지 않게 기분 좋게 우리 물 잔으로 짠 해 넌 내게 술을 권하지마 후회할 걸 알아 넌 내게 용기를 주지마 오늘뿐인 걸 알고 있어 한잔 두잔 비워내기 싫어 더 이상 내게 높은 기분을 주지마 한잔 두잔 비워내기 싫어 자꾸 건배하듯이 눈을 맞추지마 한잔 두잔 비워내기 싫어 한잔 두잔 비워내기 싫어 I DON’T CARE WHO YOU ARE DON’T MAKE ME CRY I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T LET ME LIE I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T MAKE ME CRY I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T LET ME LIE I DON’T CARE WHO YOU ARE  ,happy
I’m waiting for a miracle 내 보통뿐인 나날에 Oh would you be my miracle 난 너에게 늘 감사해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 날 잊지 않길 바라요 You You I’m waiting for a miracle 내 보통뿐인 나날에 Oh let me be your miracle 난 이미 너를 자랑해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 내 손을 놓지 말아요 You You I’m waiting for a miracle 내 보통뿐인 나날에 Oh would you be my miracle 난 이미 너를 사랑해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 그대 나와 함께 가요 You 그대는 나의 그대는 나의 You 기적이죠 기적이죠 영원을 닮은 기다림 끝에 나를 찾아온 그대 일어나지 않을 것만 같았던 기적 You’ll always be my miracle Lalala 보통날이 아름다운 건 그대란 기적 때문이죠 내 하루를 밝혀주는 건 그대란 이름의 빛이죠 You’ll always be my miracle You’ll always be my miracle 난 이미 그대를 자랑해 난 이미 그대를 사랑해 그댄 내 보통날의 기적이죠 ,happy
너 없이 또 살다보면 잊을 꺼라 난 믿었는데 쉽게 끊을 수 없는 커피처럼 눈을 뜨면 또 생각나 어쩌면 이대로 네게 중독된 사람처럼 단 하루라도 널 볼 수 없는 난 살아 낼 수 없어 널 사랑했어 후회는 없어 이제와 넌 아니라고 말해도 어떻게 내가 널 잊을런지 그 마음 하나로 눈물인데 사랑해 니가 없다면 넌 죽었다면 다른 기대없이 그리움에 너를 원망하는 일 없었을 나일텐데 baby never can't see you again and so i just can't forget of my life everything in my life for you love i can give anything left in my life 왜 이리 또 야윈거니 가끔 아프기도 하는지 네게 익숙한 짧은 감기처럼 너를 잊을 순 없겠지 어쩌면 이대로 네게 중독된 사람처럼 단 하루라도 널 볼수 없는 난 살아낼 수 없어 널 사랑했어 후회는 없어 이제와 넌 아니라고 말해도 어떻게 내가 널 잊을런지 그 맘 하나로 눈물인데 사랑해 니가 없다면 넌 죽었다면 다른 기대없이 그리움에 너를 원망하는 일 없었을 나일텐데 내게 이러지마 사랑이 변했다고 없던 일이 되니 제발 내게 다시 돌아와줘 널 보고 싶어 널 안고 싶어 너 없이 난 견딜 자신이 없어 차라리 쉽게 널 만났다면 널 조금 덜 사랑했을 텐데 잊을께 니가 그랬듯 널 지워볼께 다신 찾지 않아 행복해줘 널 두고 아파하는 날 사랑은 했던거니 baby never can't see you again and so i just can't forget of my life everything in my life for you love i can give anything left in my life ,happy
 나도 한때는 그이의 손을 잡고 내가 온 세상 주인공이 된 듯 꽃송이의 꽃잎 하나하나까지 모두 날 위해 피어났지 올림픽대로 뚝섬 유원지 서촌 골목골목 예쁜 식당 나를 휘청거리게 만든 주옥같은 대사들 다시 누군가 사랑할 수 있을까 예쁘다는 말 들을 수 있을까 하루 단 하루만 기회가 온다면 죽을힘을 다해 빛나리 언제부턴가 급격하게 단조로 바뀌던 배경음악 조명이 꺼진 세트장에 혼자 남겨진 나는 단역을 맡은 그냥 평범한 여자 꽃도 하늘도 한강도 거짓말 나의 드라마는 또 이렇게 끝나 나왔는지조차 모르게 끝났는지조차 모르게 ,happy
I don’t know who loves me And I don't care 어차피 낭비 설렘 따위 좀 겁이 나니까 달콤 쌉쌀한 chocolate 끝 맛은 항상 같지 Like saddest movies 눈가엔 눈물만 난 알아 달콤한 love song 맹세의 그 말도 돌아서면 결국 낯선 그 someone Sorry I’m an anti-romantic 달아나고 싶어 저 멀리 이미 널 쫓는 내 마음이 작은 불씨로 타올라 Sorry I’m an anti-romantic 더는 믿지 않아 romantic 내 맘 전부를 다 불사르고 까만 재만 남게 될까 두려워 I know that you love me 또 취하게 해 깊이 넌 마치 champagne 이럼 안되는데 다 보이잖아 끝이 숙취보다 지독히 힘들 거잖아 자 이쯤에서 끝내 So stupid 달콤한 love song 사치스러운 rom com 행복했던 만큼 계산서엔 red line Sorry I’m an anti-romantic 달아나고 싶어 저 멀리 이미 널 쫓는 내 마음이 작은 불씨로 타올라 Sorry I’m an anti-romantic 더는 믿지 않아 romantic 내 맘 전부를 다 불사르고 까만 재만 남게 될까 두려워 Sorry I’m an anti-romantic 달아나고 싶어 저 멀리 이미 널 쫓는 내 마음이 작은 불씨로 타올라 Sorry I’m an anti-romantic 더는 믿지 않아 romantic 내 맘 전부를 다 불사르고 까만 재만 남게 될까 두려워 ,happy
 나의 마음이 움직여 그냥 길을 따라 걸어가도 다시 여기 너의 앞에 두려웠던 나의 맘에 하얀 눈이 내려와 So I'm still I’m here and I’ll be there 따듯한 어깨에 기대어 이렇게 다시 너를 느껴 I’m still and I’m here 이렇게라도 널 담을게 우리 서로 밀어내더라도 그 때문에 더 깊이 새겨져 여기 또 거기 다른 하늘이라도 너의 맘을 기억해 and I'm still I'm here 흔들렸던 나의 맘에 네가 다시 다가와 So I'm still I’m here and I’ll be there 얼어붙은 이 길을 지나 이렇게 다시 너를 만나 I'm still and I'm here 다시 널 놓치지 않을래 계속 네가 나를 밀어내도 혹시 나의 눈에 사라져도 여기 나 여기 곁에 늘 서 있을게 나의 맘이 움직여 and I'm still I'm here 난 너의 기억이 다 지워질까 봐 마음에 새겨도 너를 볼 수 없게 될까 봐 시간이 난 두려워 다시 너를 찾아봐 또 이렇게 I'm still and I'm here 다시 널 놓치지 않을래 세상 어느 곳에 있더라도 어디라도 내가 찾아갈게 여기 나 여기 곁에 늘 서 있을게 나의 맘이 움직여 and I'm still I'm here  ,happy
 처음이라 그래 며칠 뒤엔 괜찮아져 그 생각만으로 벌써 일년이 너와 만든 기념일마다 슬픔은 나를 찾아와 처음 사랑 고백하며 설렌 수줍음과 우리 처음 만난 날 지나가고 너의 생일엔 눈물의 케이크 촛불 켜고서 축하해 I believe in you I believe in your mind 벌써 일년이 지났지만 일년 뒤에도 그 일년 뒤에도 널 기다려 너무 보고 싶어 돌아와줘 말 못했어 널 보는 따뜻한 그의 눈빛과 니 왼손에 껴진 반지보다 빛난 니 얼굴 때문에 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나 없이 추억을 만드는 너라는걸 내가 기억하는 추억은 언제나 지난 웃음과 얘기와 바램들 또 새로 만들 추억은 하나뿐 내 기다림과 눈물 속 너일뿐 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나 없이 추억을 만드는 너라는걸 벌써 일년이 지났지만 일년 뒤에도 그 일년 뒤에도 널 기다려  ,happy
ooh i miss u i need u 그대 얼굴이 또 생각이나요 잠도 오지 않는 밤 슬픈 눈물이 내 볼에 흐르면 이별인 걸 난 느껴요 찬바람 불어오는 날에는 그대 내게 돌아와요 매일 이 거리에서 골목길에서 난 기다릴게요 이 밤이 다가도록 i`ll be missing you 오늘 밤이 지나면 영영 잊을지 몰라 i`ll be missing you 시간이 멈췄으면 그때로 돌아갔으면 두루루루 두루루 예예 창문밖에는 또 비가 내려 잠도 오지 않는 이 밤에 텅 빈 방안에 나 외로이 홀로 그대 생각뿐인 오늘밤 찬바람 불어오는 날에는 그대 내게 돌아와요 벌써 나를 잊어도 날 모른대도 난 기다릴 텐데 이 밤이 다가도록 i`ll be missing you 오늘 밤이 지나면 영영 잊을지 몰라 i`ll be missing you 시간이 멈췄으면 그때로 돌아갔으면 이별은 그만 상처를 주는 일도 그만 한 번도 못했던 말 그대 없이 난 못 살아요 오늘밤 그리워요 i`ll be missing you 꿈속에서나 그댈 만날 수 있겠지만 i`ll be missing you 내일 잠에서 깨면 나의 곁에 있었으면 i`ll be missing you 오늘 밤이 지나면 영영 잊을지 몰라,happy
"빛이 나는 spoon 내게는 남 얘기 누군가의 꿈 이미 다 가진 그들의 삶 속엔 없는 game over  원하면 뭐든 지킬 수 있겠지 나완 다르니 그게 한 평의 방이 됐든 꿈이 됐든 사랑이든 oh  I can't be a lover 이 세계의 charge A bit too much I might lose again, 이 game  I’ll never be a trust fund baby, no 그 삶이 내 거면 왜 안 되는 걸까? 빈 wallet 그보다 더 비어버린 마음의 이름은 Lover with no $ dollar sign I’ll never be a trust fund baby, no I wish everything's a lie 훔친 hunnit bands 더 비참해질 뿐 주인은 못 돼 패배자를 위한 낙원 따윈 구원 따윈 물론 없어  Yeah, I know I know I'm not like them 더하고 곱해봐도 잘 안돼 그 어떤 수도 0인 내겐 I'm nothing 살 수 없는 걸  I’ll never be a trust fund baby, no 그 삶이 내 거면 왜 안 되는 걸까? 빈 wallet 그보다 더 비어버린 마음의 이름은 Lover with no $ dollar sign I’ll never be a trust fund baby, no I wish everything's a lie I’ll never be a trust fund baby, no I wish everything's a lie",happy
나의 여자친구가 되어주겠니 이런 내 마음을 넌 받아주겠니 넌 누구보다 예뻐 넌 뭘 해도 다 예뻐 세상 하나뿐인 넌 정말 예뻐 꿈꿔온 여자친구 너 My love is only you 기다린 여자친구 너 My love is only you 지금 고백할까 말까 이런 내 맘 알까 점점 더 빠져드는 날 어떻게 해 Love is only you 꿈꿔온 내 사랑은 너 It's only you 내가 너의 맘에 들진 모르지만 이런 나의 진심을 알아주겠니 화장 안 해도 예뻐 넌 뭘 입어도 예뻐 세상 그 누구보다 넌 정말 예뻐 꿈꿔온 여자친구 너 My love is only you 기다린 여자친구 너 My love is only you 지금 고백할까 말까 이런 내 맘 알까 점점 더 빠져드는 날 어떻게 해 알고 있니 지금 내가 하고 싶은 말 더 예뻐지는 너 너만 보는 나 잘 어울려 우린 점점 더 빠져드는 점점 더 커져가는 Love My love is only you 내 눈을 보고 있는 너 말해야 할 것 같아 지금 사랑한다 할까 같은 마음일까 미칠 것만 같아 이런 내 맘 알까 이젠 나 고백할게 My love is only you It's only you 꿈꿔온 여자친구 너 It's only you ,happy
잠시 길을 잃었어 어디로 가야 하는지 정말 알 수가 없어 난 늘 너란 길만 걸었으니까 오 낮엔 괜찮아 바쁘게 지낼 수 있어 밤이 오면 다시 길을 잃어 울고 울다 새벽이 되잖아 모두 사라졌어 my hope love sweet dreams 워 어떡해 워 잘해주지 말지 왜 그랬어 이제 막다른 길 워  보내기 싫어 네 눈을 쳐다봤지 너 너무 미안해 하니깐 도리어 내가 더 미안해 버렸어 오 날 안아주던 네 품이 참 좋았어 그리 쉽게 떠나갈 거면서 왜 널 좋아하게 만든 거야 모두 사라졌어 my hope love sweet dreams 워 어떡해 워 마음 열지 말걸 후회가 돼 이젠 막다른 길 워  난 아이인가봐 그저 온종일 울기만 하잖아 네가 없인 무엇도 못해 어리광 부리며 헤맬뿐야  잠시 길을 잃은 거야 my hope love sweet dreams  다시 길을 찾을 꺼야 my hope love sweet dreams  잠시 길을 잃은 거야 my hope love sweet dreams  다시 길을 찾을 꺼야 my hope love sweet dreams  ,happy
 우리가 나눈 긴 시간만큼 늘어난 기대는 어쩌면 당연할지도 몰라 수많은 외침도 서로의 맘엔 닿지 못한 채 그렇게 흘러가기도 했지만 So whenever you ask me again how I feel Please remember my answer is you 먼 길을 다시 돌아간다 해도 난 여전히 같은 맘일 테니까 We'll be alright I want to try again 잦은 다툼에 몇 번이고 다시 무너져도 중요한 건 우리라고 말했듯 무의미하지 않아 한 걸음 더 나아가는 거라고 지난날이 말해주고 있는 걸 So whenever you ask me again how I feel Please remember my answer is you 먼 길을 다시 돌아간다 해도 난 여전히 같은 맘일 테니까 We'll be alright I want to try again 같은 반복이어도 You should know that I'm always on your side Please remember my answer is you 먼 길을 다시 돌아간다 해도 난 여전히 같은 맘일 테니까 We'll be alright I want to try again We'll be alright Please try again  ,happy
눈부신 햇살이 비춰주어도 제게 무슨 소용있겠어요 이토록 아름다운 당신만이 나에게 빛이 되는걸 그대여 안녕이란 말은 말아요 사랑의 눈빛만을 주세요 아 이대로 영원히 내 사랑 간직하고파 눈부신 햇살이 비춰주어도 이젠 무슨 소용있겠어요 이토록 아름다운 당신만이 나에게 빛이 되는걸 그대여 안녕이란 말은 말아요 사랑의 눈빛만을 주세요 아 이대로 영원히 내 사랑 간직하고파 영원히 그대와 당신만이 ,happy
 차가운 계절은 지나고 봄이 또 찾아왔죠 이렇게 시린 겨울을 우린 잘 버텨냈네요 앞으로 해야 할 것들은 너무 넘쳐나지만 계절의 포근함으로 또 이겨내야죠 Remember that 아주 오랜 시간이 지나갔죠 어제의 추억이 내일은 그저 잊혀지기를 힘겨운 발걸음을 옮기죠 봄날의 밤공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 아픈 계절의 향기만 남아 그녀가 자꾸만 자꾸만 생각이나 눈물이 나네요 눈물만 나네요 Remember that 오랜 시간 얼었던 땅도 녹아 내리고 계절의 반복 그 속에 미련인지 알 수 없는 지금 기분은 시간을 되돌려 줘 음 지금 난 그때로 돌아와 있어 때 맞춰 떠나던 여행처럼 썩 나쁘지 않은 기분 하지만 또 뭉클해지는 가슴이 말하는 메시지는 I wanna give you my love Beautiful days 그 아름다운 날들이 지나가죠 오늘의 기억에 내일은 그저 웃을 수 있게 오늘도 발걸음을 옮기죠 봄날의 밤 공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 아픈 계절의 향기만 남아 그녀가 자꾸만 자꾸만 생각이나 눈물이 나네요 Remember that road we used to walk down on the Way to your home girl Do you remember that 봄이 올 때마다 꽃이 피는 것처럼 이 길 걸을 때마다 네 생각나 girl 봄날의 밤 공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 필름처럼 봄날의 기억이 이제와 자꾸만 자꾸만 생각이나 눈물이 나네요 안녕 봄아 넌 여전히 예쁘구나 이 향기도 바람도 스며있는 포근함 흘러간 시간이 무색할 만큼 그대로인데 왜인지 난 작년의 봄 앞에 머문다 눈물이나 주책 맞게 더 없이 해맑게 나를 안아주는 햇살이 고마워 너도 어딘가에서 이 봄을 느끼고 있겠지 아마 Remember that  ,happy
