가수명,노래제목,발매일,가사,좋아요수
소심한 오빠들,이별맛집 (Feat. 볼빨간사춘기),2014-11-17,오늘 우연히 들렀어 그 집 그러고 보니 우리 참 많이도 찾아다녔다 가는 동네 집집마다 우리 같이 꼭 붙어 먹던 그 음식 추억들 뿐인데 안녕하세요 아주머니 오랜만이죠 잘 계셨죠 오늘은 그냥 친구랑 왔어요 아니예요 헤어진건 아니예요 먹는데 자꾸 눈물이 나요 목으로 넘어가질 않아요 오늘은 정말 친구랑 온거예요 다음에 꼭 같이 올게요 우리 하나 변한 게 없어서 괜히 속상하더라 우린 이렇게 많이 변했는데 안녕하세요 아주머니 오랜만이죠 잘 계셨죠 오늘은 그냥 친구랑 왔어요 아니예요 헤어진건 아니예요 먹는데 자꾸 눈물이 나요 목으로 넘어가질 않아요 오늘은 정말 친구랑 온거예요 다음에 꼭 같이 올게요 우리 숙대 앞 낡은 껍데기집 흑석동 곱창집 아저씨도 여전히 널 여전히 날 또렷히도 아시더라 네가 좋아했던 떡볶이집 우리가 항상 먹던 팥빵집 한번쯤 그냥 이렇게 와보고 싶었어 모든게 선명해서 먹는데 자꾸 눈물이 나서 목으로 넘어가질 않았어 오늘은 그냥 친구랑 온거라고 했어 꼭 다시 오겠다고 너랑 ,7871
CHEEZE (치즈),Romance,2015-05-13,빨간 풍선에 가득 담긴 꽃잎에 짙은 향기 품고서 무표정으로 내게 다가와 귓가에 깊이 색을 물들여 그저 웃음 짓네 차가운 기억에 머무는 듯해 나란히 겹쳐지는 따뜻한 기억에도 어두운 곳에 갇혀있는 듯해 두 눈이 멈춰있는 그곳에 walking through the night 곁에 함께 존재했던 그대 뒷모습이 아직도 내게는 달콤했던 순간인지 긴 악몽인지 어지럽게 날 뒤흔드는 가위처럼 혼자서는 잠이 들고 깨기가 예전처럼 쉽지가 않아 은근하게 날 조여오는 매 순간에 갈 곳을 잃은 내 기억 속은 walking through the night 곁에 함께 존재했던 그대 뒷모습이 아직도 내게는 달콤했던 순간인지 긴 악몽인지 어지럽게 날 뒤흔드는 가위처럼 walking through the night 곁에 함께 존재했던 그대 뒷모습이 아직도 내게는 달콤했던 순간인지 긴 악몽인지 어지럽게 날 뒤흔드는 가위처럼 ,54501
스무살,미안 (Feat. 안지연),2018-09-27,미안 널 생각해 미안 아직도 널 생각해 마침 지금 창밖에 비가 내리고 있어 저 비를 핑계 삼아 널 생각해도 될까 널 생각하면 마음이 찡해지는 게 너와 나의 시간은 내가 항상 느렸던 걸까 아님 조금 달랐던 걸까 Please go back 내 맘이 기다려 내가 망쳐버렸던 수많은 시간을 고칠 수 있게 Please go back 넌 지금 어딨니 비가 그치고 햇살이 와 너도 그렇게 오면 안 될까 좋은 영화가 끝나고 한참을 아쉽게 머물러있던 그 맘처럼 아쉬운 맘을 붙잡던 우리였는데 그런 널 난 어떻게 보냈을까 Please go back 내 맘이 기다려 내가 망쳐버렸던 수많은 시간을 고칠 수 있게 Please go back 넌 지금 어딨니 비가 그치고 햇살이 와 너도 그렇게 오면 Please go back 니 맘을 기다려 니가 수놓았었던 수많은 추억을 찾을 수 있게 Please go back 넌 지금 어딨니 비가 그치고 햇살이 와 너도 그렇게 오면 안 될까 ,6789
김나영,오답 (Feat. 이민혁 of BTOB),2018-12-30,이유가 되잖아 아무 이유가 없는 것도 그냥 좋았잖아 다른 이유 없이도 다 그런 거잖아 다들 하는 이별이란 게 추억이 되긴 어렵잖아 모든 하루에 정답이 있었다면 그때 우린 몇 번이나 틀린 걸까 이제 그 모든 날이 다 자꾸 멀어져 잡히지가 않네 있잖아 그만하자 다 알잖아 더 안되잖아 함께 한 모든 날이 전부 다 오답이라잖아 그럼 다 지워보자 오답들도 사라질까 함께 한 모든 날이 이젠 다 추억이라잖아 이유가 되잖아 아무 이유가 없는 것도 그냥 그만하자 다른 이유는 없어 다 그런 거라며 다들 하는 이별이란 게 추억이라 얘기하며 추억하는 게 함께했던 모든 게 한순간이 되는 게 그래 아무 의미 없겠지 지난 진심 따윈 차갑게 식어버린 우리 둘 정적만이 이유 같은 건 의미 없단 걸 미련에 또 돌아봐도 풀이부터 엉망 죄다 오답뿐 warning 끝없이 떨어지는 길 그 끝에는 비만 내려 대체 왜 그리 답답해 이제 와서 무슨 답을 찾니 서로가 아름답도록 만든 밤이 그리워져도 있잖아 그만하자 다 알잖아 더 안되잖아 함께 한 모든 날이 전부 다 오답이라잖아 그럼 다 지워보자 오답들도 사라질까 함께 한 모든 날이 이젠 다 추억이라잖아 너가 없는 내일에 정답이 있긴 할까 모두 다 지워내도 결국 오답 아닐까 그래 아마 우린 아마 다 ,14777
아이유,그렇게 사랑은,2017-04-21,그렇게 사랑은 간절히 불러보지만 아무런 대답이 없는 그렇게 사랑은 아무리 다가갈수록 멀어져 가는 얼마나 사랑은 수많은 사람들 중에 오직 그대 하나 얼마나 사랑은 걷잡을 수 없는 바람이 되어 가질 수 없는 꿈결이 너를 내게 데려온 밤새 처음 들은 목소리가 웃음이 되고 어느새 앞서간 너의 뒷모습 잠시도 멈추지 못해 내 마음 터질 것 같아 너를 사랑하는 혼자만의 사랑이라도 내 맘 하나 가득 소중한 모든 것인 것을 너를 사랑하는 혼자만의 사랑이라도 시들지 않는 영원한 것을 남겨진 하늘 검은 밤바람 떠나간 너의 기억 눈부시게 밝혀져 있고 모두 사라질 세상 속에서 널 향한 조급한 그리움 더욱 커져만 가는 너를 사랑하는 혼자만의 사랑이라도 내 맘 하나 가득 소중한 모든 것인 것을 너를 사랑하는 혼자만의 사랑이라도 시들지 않는 영원한 것을 어쩌면 사랑은 닿을 수 없는 너의 손 애써 잡으려 하는 어쩌면 사랑은 있지도 않은 곳으로 찾아가려는 ,47061
케이시 (Kassy),그때가 좋았어,2018-12-31,이젠 내가 편하니 작은 설렘조차 욕심이겠지 항상 곁에 있어서 계속 함께 있을 줄 알았나 봐 음 반복되는 시간에 지쳐가 더 이상 함께 웃을 일도 없어 봄처럼 따뜻했던 그때가 좋았어 너 하나로 충분했던 그때가 좋았어 헤어지고 나서야 깨닫게 됐어 참 좋았구나 참 예뻤구나 우리 지난날에 그때가 참 좋았어 그때 그때 그때 그때 음 이미 너도 다 알잖아 돌이킬 수 없이 멀리 왔다는 거 억지로 더 노력해도 안되는 건 어쩔 수가 없더라 음 우리 언제 이렇게 됐을까 더는 너를 만날 자신이 없어 봄처럼 따뜻했던 그때가 좋았어 행복해서 눈물 나던 그때가 좋았어 헤어지고 나서야 깨닫게 됐어 참 좋았구나 참 예뻤구나 우리 지난날에 그때가 참 좋았어 가진 것도 없고 초라했어도 서로만으로 충분했으니까 우린 너라서 좋았어 행복했어 사랑이 전부였던 그때가 좋았어 그때 알았더라면 더 사랑할 걸 더 안아줄 걸 후회가 돼 사랑했던 우리가 참 그리워 그때 그때 그때 그때 음 ,232882
다비치,사랑하지 말아요,2018-01-25,맘 졸이다 그댈 기다리다 혼자 그렇게 지새운 많은 날 오랜 시간을 나만 그랬네요 전부를 주고 바라만 봤어요 우 지쳐가는 날 느낄 때마다 우 변해가는 널 이해할 때마다 사랑하기 싫어요 달라질 것 없는 그대가 힘이 들어서 자꾸 나만 다쳐서 이제 그만 해요 나 외로웠잖아요 이렇게 멀어져요 더 사랑하지 말아요 우리 우리 여기 딱 여기까지죠 알고 있겠죠 난 남은 게 없어요 잦은 거짓말 부질없는 약속 더는 아프게 기대하지 않아요 사랑하기 싫어요 달라질 것 없는 그대가 힘이 들어서 자꾸 나만 다쳐서 이제 그만 해요 나 외로웠잖아요 이렇게 멀어져요 더 사랑하지 말아요 우리 참 많이 노력한다는 말 더 아파요 이젠 더 흔들지 말아줘요 제발 내 곁을 떠나줘요 사랑하지 말아요 달라질 것 없는 우리가 힘이 들어서 자꾸 나만 다쳐서 이제 그만 해요 나 외로웠잖아요 이렇게 멀어져요 더 사랑하지 말아요 우리 ,6659
김나영,어땠을까,2016-10-18,지내봐도 다시 너였고 숨어있던 너를 찾고 오늘도 난 눈을 감아 봐도 또 네가 보여 마주했던 날들 아직 난 그 자리에 서있어 조금 사랑했더라면 조금 네 맘 가졌다면 이 아픔도 이 순간도 어땠을까 그때 그랬었더라면 한발 더 물러섰더라면 네가 나의 곁에 있을까 그때 그랬다면 어땠을까 함께했던 추억 왜 널 미워 못하게 만들어 조금 사랑했더라면 조금 네 맘 가졌다면 이 아픔도 이 순간도 어땠을까 그때 그랬었더라면 한발 더 물러섰더라면 네가 나의 곁에 있을까 그때 그랬다면 어땠을까 아직 내 맘이 너를 지울 자신이 없나 봐 너 없인 내 맘 텅 비었으니까 다른 사랑 못 할 만큼 너를 잊지 못 할 만큼 내 마음도 네 모습도 그대론데 그때 그랬었더라면 조금 더 잘해줬더라면 네가 아직 곁에 있을까 그때 그랬다면 어땠을까 ,6033
다비치,알아서 앓아요,2018-01-25,내 맘 부서지는 소리 들으며 이젠 떠나 줄게요 저벅 저벅 밟혀지는 우리의 사랑과 또 울음소리 아픈 거 알아요 굳이 말하지 마요 뭐든지 그대를 위해서라면 다 한 나지만 날 보내는 아픔까진 대신 앓아 줄 수 없어 미안할뿐야 알아서 잘 앓아요 알아서 날 지워요 어떻게든 이별을 해내요 기억도 추억도 나도 이 빗속에 후두둑 후두둑 털어내 버려요 행복하길 바래요 우리 기나긴 사랑이 잠깐의 미움에 끝났네요 내 곁에서 멀어지면 질수록 미움도 멀어지네요 이제는 잃을 게 아무것도 나 없어 가진 건 사랑 단 하나였지만 걱정 말아요 매일 내가 닦아주던 얼룩처럼 그렇게 날 닦아버려요 알아서 잘 앓아요 알아서 날 지워요 어떻게든 이별을 해내요 기억도 추억도 나도 이 빗속에 후두둑 후두둑 털어내 버려요 원했던 거잖아요 내가 없으면 죽을 것 같다던 그대가 이젠 있으면 죽을 것 같다고 하네요 죽음도 삶이라고들 하죠 이별도 사랑이란 사실을 배워볼게요 그래볼게요 알아요 잘 앓아요 알아서 날 지워요 어떻게든 이별을 해내요 기억도 추억도 나도 이 빗속에 후두둑 후두둑 털어내 버려요 행복하길 바래요 ,4954
정키,홀로 (Feat. 김나영),2012-08-31,아침에 눈을 떴을 때 텅 빈 방안에 나 홀로 니 빈자리 거닐면서 많은 생각들에 잠겨 지워질 수 없는 기억 돌이킬 수 없는 우리 헤어날 수 없는 나와 멀어져만 가는 너를 바라봐 누군가 한 말 처럼 언젠가 만날 거라 그렇게 우린 헤어진 거야 집에 오는 길을 홀로 텅 빈 방 침대에 홀로 너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 추억 속에 살아 홀로 방안에서 깨면 홀로 늘 있던 니가 없어 익숙해지겠지 나 홀로 그 때를 기억하니 너와 내가 우리란 말로 함께 할 수 있었던 그 날의 사랑들을 잠시 맞잡았던 두 손 차마 놀 수 없어 붙잡았던 우리라 해도 그립고 그리워 그저 바라만 봐야 했어 누군가 한 말 처럼 언젠가 만날 거라 그렇게 우린 헤어진 거야 집에 오는 길을 홀로 텅 빈 방 침대에 홀로 너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 추억 속에 살아 홀로 방안에서 깨면 홀로 늘 있던 니가 없어 익숙해지겠지 나 홀로 지난 시간들이 그리워 힘든 건지 내 손길만을 기다린 건지 다른 누군갈 만날 내 모습 바란 건지 그저 날 사랑한다고 말해줘 집에 오는 길을 홀로 텅 빈 방 침대에 홀로 너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 살아 보고 싶어 매일 널 그리며 살아 다시 아파한다 해도 내게 손 내밀어 그저 날 사랑한다고 말해줘 이제 더 이상 잊혀질 그 날처럼 처음 날 만나서 설레었던 그 날 그 때로 다시 돌아와 나 하나만 바라보며 사랑한다고 말했던 그 때의 우리로 돌아갈래 텅 빈 방 침대에 홀로 너와의 기억에 홀로 나 홀로 무뎌질 가슴 안고 추억 속에 살아 홀로 방안에서 깨면 홀로 늘 있던 니가 없어 익숙해지겠지 나 홀로 ,150103
윤딴딴,남은 기억,2019-01-28,어디서부터 이 긴 얘기를 시작할지 가끔 비추는 너의 소식이 좋아보여 네가 없으면 참 걱정 될 것 같던 일을 알아서 잘 헤쳐 나오는 것 같아 얼마 전 지나간 너의 생일날 아무것도 못하고 전화만 잡고 있었던 건 왠지 너도 그랬지 않았을까 해서 네가 어디서 뭘 하던 내가 뭐라 할 수 없잖아 서로 잘 지내고 있는 것 같은데 괜히 왜 이러지 혹시 내가 지금 하는 얘기가 부담이 아니길 바래 아무런 의미 없어 단지 내 안에 네가 아직 남아있을 뿐이야 길을 걷다가 우연히라도 너를 만나길 자주 가던 길을 서성인 건 사실이야 통통하고 하얀 네 작은 손을 꼭 잡고서 긴장하지 않고서 근처의 카페로 데려가 못한 얘기 나누면서 마주보면서 웃고싶어 네가 어디서 누굴 만나든지 뭐라 할 수 없잖아 겨우 잘 지내고 있는 것 같은데 또 괜히 이러지 혹시 내가 지금 하는 얘기가 부담이 아니길 바래 아무런 의미 없어 단지 내 안에 네가 아직 남아있을 뿐이야 함께 가던 길 위에 그 때 우리 둘 나의 작은 맘속에 남은 기억들 네가 뭘 하고 누굴 만나든지 뭐라 할 수 없는게 가끔씩 내 맘을 조여와 나는 걱정 말고 너는 지금처럼 잘 지내길 바래 더 바라는게 없어 단지 내 안에 그때 네가 남아있고 또 남아있을 뿐이야 그 때 우리 둘 나의 작은 맘 속에 남은 기억들 ,21644
swai (스와이),짝사랑 (Feat. 폴킴),2017-02-17,한참을 혼자서 맴돌았지 나만의 생각인 줄 모르고 하루하루가 너의 생각으로 가득한 나만의 날이었어 너를 사랑해선 안될 것 같아 혼자 널 바라보는 일도 너의 사랑 모두 끝난 뒤에 만날 수 있을까 그때까지 널 기다릴거라 말도 못하는 나는 잠들기 전에도 떠오르고 일어나면 생각나는 그 사람 하루하루가 우리 둘만으로 가득할 그 날이 언제 올까 너를 사랑해선 안될 것 같아 혼자 널 바라보는 일도 너의 사랑 모두 끝난 뒤에 만날 수 있을까 그때까지 널 기다릴거라 말도 못하는 나는 혼자 아픔뿐인 난 그 흔한 고백 한번 못하고 너를 이젠 지우려 하고 있어 너를 사랑해선 안될 것 같아 혼자 널 바라보는 일도 너의 사랑 모두 끝난 뒤에 만날 수 있을까 그때까지 널 기다릴거라 말도 못하는 나는 널 사랑해선 안될 것 같아 ,16707
김나영,꺼내본다,2016-10-18,널 지워 내 가슴에 묻고 꼭 잊겠다 다짐해 놓고 또 난 울어 또 난 울어 긴 시간이 지나고 나면 언젠가 널 다 잊고 지낼거라 생각했어 항상 내쉬는 숨 속에도 너의 향기가 스며있고 한발 내딛는 걸음에도 난 너를 따라가 어딜 봐도 내 눈은 어딜 가도 내 맘은 흐려져 버린 우리 추억에 어디에도 없는 너만 찾고 어딜 보면 보일까 어딜 가면 잡힐까 어떻게 하면 돌아갈 수 있을까 또 널 꺼내본다 널 만났던 모든 순간이 바람처럼 내 맘을 흔들다 가면 또 난 이럼 안되는 줄 알면서 다시 너를 또 찾고 있어 아직 사랑한 그 시간에 난 널 따라가 어딜 봐도 내 눈은 어딜 가도 내 맘은 흐려져 버린 우리 추억에 어디에도 없는 너만 찾고 어딜 보면 보일까 어딜 가면 잡힐까 어떻게 하면 돌아갈 수 있을까 또 널 불러본다 서러운 마음에 포기해도 지워도 그게 잘 안돼 너무 사랑했어 널 어딜 봐도 내 눈은 어딜 가도 내 맘은 사라져버린 우리사랑에 헤어나지 못한 채 너만 부르고 어딜 보면 보일까 어딜 가면 잡힐까 어떻게 하면 돌아갈 수 있을까 또 널 꺼내본다 ,35284
김나영,어땠을까,2015-12-30,지내봐도 다시 너였고 숨어있던 너를 찾고 오늘도 난 눈을 감아 봐도 또 네가 보여 마주했던 날들 아직 난 그 자리에 서있어 조금 사랑했더라면 조금 네 맘 가졌다면 이 아픔도 이 순간도 어땠을까 그때 그랬었더라면 한발 더 물러섰더라면 네가 나의 곁에 있을까 그때 그랬다면 어땠을까 함께했던 추억 왜 널 미워 못하게 만들어 조금 사랑했더라면 조금 네 맘 가졌다면 이 아픔도 이 순간도 어땠을까 그때 그랬었더라면 한발 더 물러섰더라면 네가 나의 곁에 있을까 그때 그랬다면 어땠을까 아직 내 맘이 너를 지울 자신이 없나 봐 너 없인 내 맘 텅 비었으니까 다른 사랑 못 할 만큼 너를 잊지 못 할 만큼 내 마음도 네 모습도 그대론데 그때 그랬었더라면 조금 더 잘해줬더라면 네가 아직 곁에 있을까 그때 그랬다면 어땠을까 ,76949
